p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.alpha2,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.psi44,RMSE.psi55,RMSE.psi66,RMSE.psi77,RMSE.psi88,RMSE.psi99,RMSE.psi1010,RMSE.phi11,RMSE.phi12,RMSE.phi13,RMSE.phi22,RMSE.phi23,RMSE.phi33,BIAS.alpha1,BIAS.alpha2,BIAS.alpha3,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.psi44,BIAS.psi55,BIAS.psi66,BIAS.psi77,BIAS.psi88,BIAS.psi99,BIAS.psi1010,BIAS.phi11,BIAS.phi12,BIAS.phi13,BIAS.phi22,BIAS.phi23,BIAS.phi33,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.alpha3,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.psi44,SE BIAS.psi55,SE BIAS.psi66,SE BIAS.psi77,SE BIAS.psi88,SE BIAS.psi99,SE BIAS.psi1010,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi13,SE BIAS.phi22,SE BIAS.phi23,SE BIAS.phi33
10,3,100,19,46,Norm,fitos,1,NA,0.049797773,0.179386445,0.128213629,0.088,0.07,0.015,0.021931401,0.026829147,0.025312177,0.249850754,0.189887467,0.172498119,0.179479241,0.182118101,0.180815022,0.173166054,0.178468161,0.229590691,0.396299762,0.169205532,0.245438862,0.232561465,0.172724598,0.242222489,0.139943405,0.000354238,0.001149699,0.000214684,0.010642915,0.000487779,-0.007436395,-0.007565286,0.003965763,0.001606269,0.002414879,0.005868626,-0.000687132,0.014640479,-0.014010753,0.002018057,-0.014301816,-0.01809905,-0.012325869,-0.009461045,0.002718098,0.02593034,0.014541479,0.160588444,0.120662068,0.180761006,0.151103771,0.14876864,0.157450371,0.168231312,0.149900246,0.135477477,0.103071951,0.124104069,0.154519911,0.195894787,0.107557232,0.144684108,0.190093633
10,3,100,19,46,Elliptical,gammaN.model,1,0.97,0.753874745,0.251274834,0.09749856,0.723,0.052,0.001,0.020849515,0.025746367,0.024108381,0.34455341,0.279961442,0.256988485,0.263225013,0.262651191,0.257283608,0.255750326,0.255354399,0.319544531,0.50239985,0.250082498,0.333502168,0.328957019,0.241391554,0.329439695,0.222432399,0.000413839,0.000727778,0.000262016,-0.074911407,-0.089638248,-0.099436983,-0.095936365,-0.08952106,-0.092483659,-0.086798931,-0.083726071,-0.089928788,-0.06818098,-0.085006636,-0.077407688,-0.083226231,-0.097457868,-0.088995591,-0.080550116,-0.052117139,-0.039769832,-0.040257572,-0.10489623,-0.150756164,-0.097655132,-0.126910259,-0.125274997,-0.093635795,-0.121844856,-0.114744458,-0.13142557,-0.115669559,-0.109021488,-0.087580586,-0.080395064,-0.059244409,-0.088074957,-0.113198571
10,3,100,19,46,Elliptical,gammaN.s,1,1,0.663613224,0.398672883,0.231625177,0.552,0.023,0.001,0.021853683,0.026996354,0.025299186,0.500853478,0.462475642,0.471708056,0.47979673,0.483964908,0.474388497,0.458260255,0.446400784,0.506852862,0.633899676,0.377734768,0.502092926,0.461960361,0.380554928,0.48153532,0.378156359,0.000387426,0.000861786,0.000679565,-0.249316416,-0.265775894,-0.279987006,-0.283865251,-0.282556237,-0.279915948,-0.269412479,-0.260882903,-0.272741504,-0.232118644,-0.216023138,-0.246798201,-0.220251453,-0.228480042,-0.238760109,-0.227204019,-0.090912463,-0.08282024,-0.083980509,-0.207075822,-0.263360274,-0.254705756,-0.248680004,-0.261497301,-0.246182883,-0.271762337,-0.273484642,-0.243021574,-0.223764334,-0.290294229,-0.257839427,-0.274812017,-0.227936527,-0.268339926,-0.330408092
10,3,100,19,46,Elliptical,ridgeI,1,0.99,51.45715895,0.632860809,0.391526296,1,0.73,0.677,0.020951397,0.02672798,0.024742809,0.761126833,0.718616749,0.723357768,0.748493733,0.719993397,0.741241887,0.720966495,0.710163045,0.73725109,0.833484848,0.704902789,0.826602272,0.778870736,0.708388877,0.796369881,0.722102794,0.000832988,0.001361043,0.00106059,-0.399141786,-0.39921655,-0.403658947,-0.411467045,-0.400991924,-0.409655904,-0.40302567,-0.396942411,-0.397466014,-0.380075609,-0.39555691,-0.419553577,-0.408089301,-0.398036224,-0.411183074,-0.405601362,-0.358115997,-0.365684885,-0.367598201,-0.362995573,-0.39278515,-0.386785738,-0.402395129,-0.393028518,-0.381849129,-0.381193251,-0.405824387,-0.393663307,-0.393671116,-0.407847795,-0.415877826,-0.389311486,-0.392160788,-0.421513208,-0.426698148
10,3,100,19,46,Elliptical,ridgeD,1,0,0.953919099,0.797363936,0.528012121,0.945,0.945,0.945,0.02401554,0.030900009,0.028665376,0.991399366,0.945488791,0.942543769,0.969213838,0.930172838,0.961567857,0.941025763,0.916797064,0.946898653,1.073318506,0.848233964,0.985460088,0.934131381,0.85542429,0.96197571,0.862681976,0.000793751,0.001869446,0.000909507,-0.463976383,-0.466895127,-0.468779262,-0.475330172,-0.463778577,-0.474018318,-0.469037315,-0.459862274,-0.459293166,-0.447117233,-0.43945918,-0.46151562,-0.450422874,-0.442526673,-0.4572771,-0.449396044,-0.491497602,-0.502546717,-0.506830183,-0.518991132,-0.539356676,-0.536044065,-0.542483543,-0.539207958,-0.527541893,-0.525584512,-0.543642484,-0.533147536,-0.525634897,-0.538588812,-0.53558277,-0.523951103,-0.532399563,-0.536734776,-0.532464072
10,3,100,19,46,Elliptical,gls.model,1,1,0.836198948,0.28592803,0.131978073,0.747,0.051,0,0.02191641,0.027054977,0.025236287,0.412891829,0.331042868,0.284789485,0.282315474,0.295122287,0.282901477,0.280435132,0.276417726,0.346759566,0.583384235,0.276442748,0.390734038,0.384804843,0.269542329,0.395426142,0.265414717,0.000579205,0.000652841,0.000147957,-0.000534538,-0.010898045,-0.026282134,-0.022304994,-0.014983203,-0.020250565,-0.013238065,-0.013544191,-0.023271876,7.13E-06,-0.011759512,0.001813126,0.000709425,-0.031495921,-0.016535412,-0.0073895,-0.03129545,-0.023070327,-0.015233778,-0.392377632,-0.452453181,-0.39749909,-0.383000636,-0.40092807,-0.379076486,-0.392976688,-0.377067894,-0.361848404,-0.354830573,-0.403312945,-0.380823629,-0.387021886,-0.379849564,-0.401944029,-0.463603715
10,3,100,19,46,Elliptical,gls.s,1,1,0.663613224,0.398672883,0.123270563,0.552,0.023,0.001,0.021853683,0.026996354,0.025299186,0.500853478,0.462475642,0.471708056,0.47979673,0.483964908,0.474388497,0.458260255,0.446400784,0.506852862,0.633899676,0.377734768,0.502092926,0.461960361,0.380554928,0.48153532,0.378156359,0.000387426,0.000861786,0.000679565,-0.249316416,-0.265775894,-0.279987006,-0.283865251,-0.282556237,-0.279915948,-0.269412479,-0.260882903,-0.272741504,-0.232118644,-0.216023138,-0.246798201,-0.220251453,-0.228480042,-0.238760109,-0.227204019,-0.090912463,-0.08282024,-0.083980509,-0.207075822,-0.263360274,-0.254705756,-0.248680004,-0.261497301,-0.246182883,-0.271762337,-0.273484642,-0.243021574,-0.223764334,-0.290294229,-0.257839427,-0.274812017,-0.227936527,-0.268339926,-0.330408092
10,3,100,19,46,Elliptical,ls,1,1,1532487.525,5.645062202,0.99030482,1,0.21,0.024,0.021857773,0.02703556,0.025253224,0.8374404,0.979888928,1.969040318,3.78765675,6.100898502,6.91655015,10.06676833,12.91750865,18.20691207,42.66522687,0.317164684,0.653028265,0.395013593,0.677911427,0.424370425,0.266655916,0.000541703,0.000670532,0.000147556,-0.012650453,0.029671422,-0.083238444,-0.077802349,-0.076462369,0.130947126,0.085388874,0.16742872,-0.101211446,-0.458688879,-0.010775679,-0.003251662,0.002720636,-0.02407574,-0.020528707,-0.007037771,-0.927748741,-0.924441929,-0.991345446,-0.99250404,-0.995529744,-0.997680729,-0.998798227,-0.999244856,-0.99945604,-0.999615897,-0.999722657,-0.999724492,-0.99973161,-0.99623827,-0.996785346,-0.999495892,-0.99832353,-0.999450935,-0.999953195
10,3,100,19,46,Elliptical,wls,1,0,0.953919099,0.797363936,0.528012121,0.945,0.945,0.945,0.02401554,0.030900009,0.028665376,0.991399366,0.945488791,0.942543769,0.969213838,0.930172838,0.961567857,0.941025763,0.916797064,0.946898653,1.073318506,0.848233964,0.985460088,0.934131381,0.85542429,0.96197571,0.862681976,0.000793751,0.001869446,0.000909507,-0.463976383,-0.466895127,-0.468779262,-0.475330172,-0.463778577,-0.474018318,-0.469037315,-0.459862274,-0.459293166,-0.447117233,-0.43945918,-0.46151562,-0.450422874,-0.442526673,-0.4572771,-0.449396044,-0.491497602,-0.502546717,-0.506830183,-0.518991132,-0.539356676,-0.536044065,-0.542483543,-0.539207958,-0.527541893,-0.525584512,-0.543642484,-0.533147536,-0.525634897,-0.538588812,-0.53558277,-0.523951103,-0.532399563,-0.536734776,-0.532464072
10,3,100,19,46,Elliptical,fites,1,NA,0.049797773,0.285678006,0.140616541,0.815,0.083,0.003,0.021905993,0.027072194,0.025235969,0.412912317,0.331376969,0.283135631,0.280597543,0.293402485,0.283164108,0.279921435,0.275872824,0.346044209,0.584647124,0.276896574,0.390188119,0.384845415,0.26995211,0.395286986,0.265424115,0.000576302,0.000662625,0.00014715,0.010084335,-0.00026707,-0.016046781,-0.012441423,-0.005759819,-0.008639981,-0.00214549,-0.004394451,-0.01317481,0.011321135,-0.01332734,0.004431418,0.00046211,-0.033134403,-0.016182386,-0.007411738,-0.03570554,-0.02857868,-0.020159226,-0.197967561,-0.226060664,-0.154267381,-0.148392973,-0.175328183,-0.149046635,-0.159359207,-0.141454237,-0.151788655,-0.171512759,-0.139798793,-0.136921422,-0.131441557,-0.133543772,-0.166819221,-0.203567807
