p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.alpha2,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.psi44,RMSE.psi55,RMSE.phi11,RMSE.phi12,RMSE.phi13,RMSE.phi22,RMSE.phi23,RMSE.phi33,BIAS.alpha1,BIAS.alpha2,BIAS.alpha3,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.psi44,BIAS.psi55,BIAS.phi11,BIAS.phi12,BIAS.phi13,BIAS.phi22,BIAS.phi23,BIAS.phi33,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.alpha3,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.psi44,SE BIAS.psi55,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi13,SE BIAS.phi22,SE BIAS.phi23,SE BIAS.phi33
5,3,50,14,6,Norm,fitos,1,NA,0.049797773,0.522645562,0.043292575,0.058,0.125,0.102,0.029548796,0.05521964,0.035192008,0.698512861,0.338975874,0.347421542,0.627256355,2.129872065,0.30251406,0.686026135,0.388641972,0.897819483,0.563401573,0.216635505,0.000355653,0.0012101,-0.001934074,0.034749284,0.001794819,0.003217074,-0.038449453,0.175947173,-0.018485817,0.034806043,-0.025815199,-0.075936645,0.021616981,-0.029234515,0.052717131,-0.060264276,0.03765181,-0.025580384,-0.017995589,-0.035746714,-0.042639884,-0.094607657,-0.06114188,-0.01790961,0.013526043,-0.07719137,-0.005489769,0.063633941
5,3,50,14,6,Elliptical,gammaN.model,1,0.77,0.169833419,0.650256838,0.115677536,0.162,0.055,0.046,0.028404178,0.052551065,0.033009491,0.917412016,0.464479346,0.485812423,0.873386644,2.205224006,0.410340098,0.954695661,0.522566292,1.033787019,0.766346104,0.355581391,0.000115501,0.001446688,-0.001552904,-0.137601218,-0.131413891,-0.135805674,-0.232298589,0.172480961,-0.111827706,-0.157140187,-0.140025183,-0.12475467,-0.144367769,-0.138463526,-0.008238189,-0.100857807,-0.0057118,-0.102879062,-0.149670223,-0.169728895,-0.142744671,-0.127053601,-0.165260792,-0.109532082,-0.119871149,-0.128926317,-0.118023893,-0.17098702
5,3,50,14,6,Elliptical,gammaN.s,1,0.74,0.140643419,0.662400878,0.087789052,0.063,0.049,0.041,0.029043085,0.053493184,0.034083557,0.950535216,0.500581573,0.531473566,0.992635179,1.952389958,0.423452578,1.05013467,0.569446388,0.932474102,0.858248308,0.395620925,0.000174417,0.001617162,-0.001559776,-0.213691895,-0.190497153,-0.204013583,-0.328631556,0.199875398,-0.144578227,-0.255744646,-0.193756852,-0.10060308,-0.236308146,-0.182697088,-0.034546517,-0.117961548,-0.041895185,-0.032971978,-0.111456708,-0.126812448,-0.08596046,-0.042499009,-0.140313644,-0.05807326,-0.113007247,-0.065998623,-0.091587531,-0.165962568
5,3,50,14,6,Elliptical,ridgeI,1,0.99,9.434190986,0.715742613,0.143512542,1,0.079,0.063,0.029141502,0.052451417,0.033371569,0.997610941,0.553799919,0.572862753,1.023225475,2.199985254,0.474792779,1.098391901,0.627538061,1.013382173,0.887242393,0.45660044,0.000557542,0.001593369,-0.001396151,-0.243883751,-0.226356118,-0.235182576,-0.338561902,0.084585346,-0.192691371,-0.285136264,-0.240185752,-0.16067906,-0.271441378,-0.232454216,-0.074087096,-0.126336526,-0.061099263,-0.100734843,-0.185726091,-0.186858151,-0.158803863,-0.128273797,-0.203642933,-0.119606978,-0.175540077,-0.140171454,-0.125195292,-0.223099223
5,3,50,14,6,Elliptical,ridgeD,1,0,0.147691899,0.749805191,0.186897487,0.098,0.098,0.098,0.030196965,0.054521727,0.034722244,1.062840682,0.595893192,0.609420052,1.111734904,2.243085242,0.496807173,1.15088151,0.652775102,1.04881761,0.925269481,0.480306795,0.000638253,0.001352981,-0.001137598,-0.27117469,-0.253395716,-0.255252948,-0.370364147,0.077326214,-0.208900898,-0.30357327,-0.256796667,-0.175846724,-0.281257545,-0.247304148,-0.127632421,-0.180737908,-0.119601479,-0.149294173,-0.225786989,-0.231078867,-0.204139081,-0.173475481,-0.233008563,-0.161354953,-0.20002083,-0.182616205,-0.17640898,-0.251408891
5,3,50,14,6,Elliptical,gls.model,0.998,1,0.183198063,0.75436019,0.163803023,0.201402806,0.043086172,0.032064128,0.030069056,0.054014224,0.035097694,1.03904801,0.507575808,0.51429302,1.01557156,2.718478402,0.446572242,1.024438944,0.598768428,1.252993497,0.877868099,0.446253675,-0.000170338,0.001412055,-0.001965721,-0.016190688,-0.025016003,-0.025801863,-0.099147748,0.259008649,-0.026944324,-0.01362002,-0.027510135,-0.092861408,-0.007870407,-0.032468535,0.012511181,-0.066132882,0.019583543,-0.331187369,-0.360519487,-0.352669625,-0.404210612,-0.355394283,-0.36995642,-0.32963551,-0.369129659,-0.336308991,-0.374811894,-0.500397829
5,3,50,14,6,Elliptical,gls.s,1,1,0.166849499,0.692275524,0.074990561,0.143,0.039,0.031,0.029945302,0.054429037,0.035321828,1.005728996,0.501738198,0.533719358,1.032892147,2.053323513,0.429738196,1.102032961,0.591801614,0.99648122,0.909375383,0.415329583,-4.07E-05,0.001609404,-0.001815581,-0.176329045,-0.153892485,-0.172528111,-0.309043765,0.295514043,-0.109061495,-0.224775331,-0.15698906,-0.068651585,-0.206924631,-0.146846289,-0.010811804,-0.089416775,-0.020334535,-0.171485613,-0.229724063,-0.232284786,-0.193061333,-0.183244234,-0.281195915,-0.193587673,-0.263394296,-0.200926845,-0.239206346,-0.366791989
5,3,50,14,6,Elliptical,ls,1,1,24159.32317,1.720897543,0.974671994,1,0.128,0.035,0.030417932,0.053474666,0.035293651,1.338270848,1.710518141,2.765904843,4.217318356,7.853204578,0.493102329,1.167828304,0.622615558,1.953405948,1.365465859,0.485744583,-4.93E-05,0.001782637,-0.001894234,-0.004805698,0.021031368,-0.00730175,-0.172649266,0.481437355,-0.025871708,0.002109776,-0.027158004,-0.115425266,0.024310973,-0.038626091,-0.911640387,-0.851343357,-0.945756672,-0.987436927,-0.99605917,-0.99724757,-0.998025172,-0.998560582,-0.991802885,-0.987834264,-0.99538,-0.990983542,-0.99511535,-0.998222042
5,3,50,14,6,Elliptical,wls,1,0,0.147691899,0.749805191,0.186897487,0.098,0.098,0.098,0.030196965,0.054521727,0.034722244,1.062840682,0.595893192,0.609420052,1.111734904,2.243085242,0.496807173,1.15088151,0.652775102,1.04881761,0.925269481,0.480306795,0.000638253,0.001352981,-0.001137598,-0.27117469,-0.253395716,-0.255252948,-0.370364147,0.077326214,-0.208900898,-0.30357327,-0.256796667,-0.175846724,-0.281257545,-0.247304148,-0.127632421,-0.180737908,-0.119601479,-0.149294173,-0.225786989,-0.231078867,-0.204139081,-0.173475481,-0.233008563,-0.161354953,-0.20002083,-0.182616205,-0.17640898,-0.251408891
5,3,50,14,6,Elliptical,fites,1,NA,0.049797773,0.80262296,0.21149779,0.238,0.07,0.049,0.030398773,0.053946998,0.035259937,1.163247251,0.7597225,0.519698952,1.019277915,2.744126554,0.468310577,1.077505138,0.617057814,1.416949103,0.880977303,0.450242625,6.41E-06,0.001404054,-0.001818939,0.029337565,0.019856409,-0.004240959,-0.06948547,0.287708585,-0.034373497,0.019754925,-0.030455574,-0.132437965,0.009992302,-0.032849802,-0.008171491,-0.074647669,0.004858728,-0.281830402,-0.45410934,-0.213712488,-0.275606795,-0.230755094,-0.215584953,-0.218431408,-0.209057905,-0.227889112,-0.215654455,-0.330659215
