p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.alpha2,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.psi44,RMSE.psi55,RMSE.phi11,RMSE.phi12,RMSE.phi13,RMSE.phi22,RMSE.phi23,RMSE.phi33,BIAS.alpha1,BIAS.alpha2,BIAS.alpha3,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.psi44,BIAS.psi55,BIAS.phi11,BIAS.phi12,BIAS.phi13,BIAS.phi22,BIAS.phi23,BIAS.phi33,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.alpha3,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.psi44,SE BIAS.psi55,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi13,SE BIAS.phi22,SE BIAS.phi23,SE BIAS.phi33
5,3,100,14,6,Norm,ridgeD,1,0,0.068281527,0.383604547,0.085081863,0.084,0.084,0.084,0.022231199,0.040210398,0.026191805,0.541077772,0.251250362,0.25809524,0.477015937,1.545799009,0.213688145,0.534036419,0.285726803,0.556069928,0.449021502,0.170049139,-0.000138771,0.001239754,-0.000289297,-0.051279735,-0.04082718,-0.05303942,-0.093378658,0.100375809,-0.028088092,-0.05809556,-0.038174596,0.005992814,-0.058445174,-0.040446489,-0.042846409,-0.101842176,-0.051303833,-0.079820004,-0.096883001,-0.070527049,-0.120750462,-0.099901365,-0.100006977,-0.064750883,-0.091852138,-0.071595701,-0.107690365,-0.091375714
5,3,100,14,6,Norm,gls.model,1,1,0.061615485,0.371369336,0.024653392,0.049,0.054,0.045,0.021620111,0.038931041,0.025489132,0.505031071,0.229256117,0.237673728,0.430322009,1.621769628,0.20160801,0.496543462,0.266657432,0.560640115,0.409159417,0.154469426,-9.08E-06,0.001869231,-0.000169746,-0.000607498,-0.004398942,-0.018191751,-0.024293198,0.049872327,-0.008196701,0.005320609,-0.002201286,-0.002540114,-0.001948007,-0.00772233,0.017807364,-0.044106228,0.012254407,-0.001276307,0.013111917,0.02620317,-0.044405873,-0.04394265,-0.00889796,-0.003974295,-0.000494626,-0.011505295,-0.023034654,0.01839544
5,3,100,14,6,Norm,gls.s,1,1,0.060803833,0.366992783,0.018814918,0.048,0.053,0.048,0.021709644,0.039112827,0.025713502,0.514195097,0.235330134,0.246820527,0.452452901,1.480593108,0.203601448,0.518043077,0.27607729,0.528733691,0.430985122,0.164530599,-0.000138142,0.001793409,-0.00021171,-0.053387703,-0.042343439,-0.060322205,-0.09243289,0.086747396,-0.028534522,-0.061299878,-0.040567172,0.010324109,-0.062266338,-0.039837384,0.006884945,-0.052752039,-0.004830842,0.035536223,0.0330763,0.056034698,-0.011216854,0.006916922,0.002912159,0.025301912,0.003591736,0.030749608,-0.010037461,0.007096611
5,3,100,14,6,Norm,ls,1,1,3423.466181,0.837673079,0.972101159,1,0.139,0.05,0.021564513,0.038583603,0.025447058,0.538284798,0.563929918,1.103076406,1.739827313,5.064831997,0.20223812,0.50938901,0.271901289,0.810657275,0.651158943,0.186532867,1.47E-05,0.001825745,-0.000134342,-0.001813237,0.003131259,-0.030525748,-0.031523021,0.098312513,-0.00930076,0.004676864,-0.003214729,-0.002660763,0.002255238,-0.008406448,-0.912320914,-0.854977372,-0.947240831,-0.978091938,-0.991440919,-0.995026239,-0.997126019,-0.997883578,-0.986179383,-0.980427127,-0.992742862,-0.986473218,-0.992636264,-0.996849558
5,3,100,14,6,Norm,wls,1,0,0.068281527,0.383604547,0.085081863,0.084,0.084,0.084,0.022231199,0.040210398,0.026191805,0.541077772,0.251250362,0.25809524,0.477015937,1.545799009,0.213688145,0.534036419,0.285726803,0.556069928,0.449021502,0.170049139,-0.000138771,0.001239754,-0.000289297,-0.051279735,-0.04082718,-0.05303942,-0.093378658,0.100375809,-0.028088092,-0.05809556,-0.038174596,0.005992814,-0.058445174,-0.040446489,-0.042846409,-0.101842176,-0.051303833,-0.079820004,-0.096883001,-0.070527049,-0.120750462,-0.099901365,-0.100006977,-0.064750883,-0.091852138,-0.071595701,-0.107690365,-0.091375714
5,3,100,14,6,Norm,fites,1,NA,0.049797773,0.372129883,0.031816313,0.056,0.068,0.054,0.021619263,0.038932033,0.025489581,0.505252151,0.228874043,0.236935937,0.429280523,1.621223858,0.202621902,0.495828151,0.267349065,0.572753036,0.408905798,0.154753016,-1.01E-05,0.001867248,-0.000166799,0.010762789,0.006256269,-0.008293168,-0.014031372,0.06393266,-0.010637063,0.013990805,-0.003865888,-0.016188349,0.004395896,-0.008510676,0.012743061,-0.048939598,0.007156688,-0.034323961,-0.014347601,-0.004261584,-0.07202728,-0.073327686,-0.031743039,-0.029667422,-0.023806032,-0.037287582,-0.044212408,-0.011584443
5,3,100,14,6,Norm,fiteu,1,NA,0.049797773,0.372129883,0.036963718,0.056,0.063,0.055,0.021619263,0.038932033,0.025489581,0.505252151,0.228874043,0.236935937,0.429280523,1.621223858,0.202621902,0.495828151,0.267349065,0.572753036,0.408905798,0.154753016,-1.01E-05,0.001867248,-0.000166799,0.010762789,0.006256269,-0.008293168,-0.014031372,0.06393266,-0.010637063,0.013990805,-0.003865888,-0.016188349,0.004395896,-0.008510676,0.005877014,-0.053099733,-0.001178001,-0.038921451,-0.024789788,-0.012045138,-0.081139867,-0.076609806,-0.03828432,-0.034014878,-0.034268935,-0.04013659,-0.053983181,-0.023143348
5,3,100,14,6,Norm,fitos,1,NA,0.049797773,0.372129883,0.024800079,0.056,0.085,0.074,0.021619263,0.038932033,0.025489581,0.505252151,0.228874043,0.236935937,0.429280523,1.621223858,0.202621902,0.495828151,0.267349065,0.572753036,0.408905798,0.154753016,-1.01E-05,0.001867248,-0.000166799,0.010762789,0.006256269,-0.008293168,-0.014031372,0.06393266,-0.010637063,0.013990805,-0.003865888,-0.016188349,0.004395896,-0.008510676,0.019699372,-0.045047132,0.015369209,-0.019190685,0.021830365,0.024151536,-0.038608487,-0.061323595,-0.011212658,-0.01571235,0.008264653,-0.028121677,-0.015639308,0.023030081
5,3,100,14,6,Elliptical,gammaN.model,1,0.73,0.085617098,0.491943478,0.068032451,0.179,0.059,0.044,0.020564672,0.036862597,0.024749055,0.666327296,0.328969343,0.365893327,0.577853521,1.991813944,0.286917463,0.675095552,0.389379123,0.705551587,0.572786376,0.244444833,6.40E-05,0.002063295,-0.000161114,-0.10944562,-0.086689705,-0.106671057,-0.128935234,-0.012509739,-0.076438111,-0.112994824,-0.083405965,-0.042290647,-0.114027703,-0.08244688,0.003510009,-0.050572017,-0.022592711,-0.03299729,-0.081987861,-0.121885997,-0.082474681,-0.070238287,-0.07897917,-0.035989527,-0.123164699,-0.061893711,-0.073576098,-0.11259226
5,3,100,14,6,Elliptical,gammaN.s,1,0.7,0.074878815,0.493856349,0.057277846,0.106,0.06,0.048,0.020790936,0.037116301,0.025126807,0.681440703,0.345246955,0.385788246,0.622232299,1.827736443,0.294164933,0.713406055,0.410135488,0.673787487,0.613231135,0.263785099,1.53E-05,0.002079157,-6.22E-05,-0.148845543,-0.118786724,-0.140391247,-0.186012475,0.027949896,-0.092355102,-0.166222934,-0.115144091,-0.031103427,-0.163463923,-0.108736509,-0.009721239,-0.05805661,-0.040594298,0.001374266,-0.066549696,-0.104580392,-0.061920019,-0.02953878,-0.073076837,-0.012507971,-0.124500528,-0.030931163,-0.06538524,-0.123152809
5,3,100,14,6,Elliptical,ridgeI,1,0.99,4.589132313,0.518270925,0.077063954,1,0.077,0.058,0.020620243,0.036741525,0.024461296,0.705354247,0.376275798,0.405805993,0.630673011,1.951833761,0.318112914,0.740818727,0.430217277,0.691106732,0.637184063,0.286587366,0.000131264,0.002118215,-0.000368712,-0.173860952,-0.148061396,-0.166657463,-0.201236473,-0.050506674,-0.125590575,-0.195617713,-0.147072449,-0.071616394,-0.189558938,-0.140685022,-0.018245018,-0.061998348,-0.030543332,-0.030550219,-0.115360998,-0.121803549,-0.079942356,-0.054092012,-0.103181554,-0.039906607,-0.143127194,-0.051024761,-0.094708646,-0.134410758
5,3,100,14,6,Elliptical,ridgeD,1,0,0.069024285,0.530550806,0.098777482,0.087,0.087,0.087,0.020757452,0.037194585,0.02479481,0.730363178,0.394990406,0.428262178,0.664305322,1.961385403,0.324612886,0.757897482,0.435852382,0.698301596,0.651074012,0.297919585,2.10E-06,0.00206083,-0.000492665,-0.192227499,-0.164997874,-0.181492941,-0.222485047,-0.050717959,-0.135289141,-0.208294627,-0.154438719,-0.079685213,-0.199008472,-0.150507786,-0.034608026,-0.08419807,-0.054132458,-0.055609371,-0.141954399,-0.159175205,-0.11103731,-0.08070701,-0.110505381,-0.059316253,-0.152656471,-0.070801122,-0.115122045,-0.153061622
5,3,100,14,6,Elliptical,gls.model,1,1,0.102023681,0.560932238,0.101611592,0.274,0.047,0.026,0.021246298,0.038106382,0.025598049,0.745654143,0.352037612,0.397817433,0.632235047,2.441129239,0.314050234,0.729046827,0.433986634,0.854012538,0.60242577,0.265705128,0.000164425,0.002183037,0.000293169,-0.006010426,-0.001534511,-0.019269956,-0.01320477,0.000471658,-0.015614023,-0.000857691,-0.006927034,-0.003020878,-0.011071589,-0.005212493,0.025055726,-0.035357765,0.002014223,-0.329139933,-0.346463237,-0.3922941,-0.36250348,-0.341647754,-0.364721441,-0.325991987,-0.386735575,-0.357474865,-0.334883465,-0.410874118
5,3,100,14,6,Elliptical,gls.s,1,1,0.095504642,0.525907108,0.058439236,0.23,0.042,0.027,0.021280424,0.038102333,0.025745103,0.733024119,0.352384556,0.395036609,0.64813023,1.98161317,0.307281809,0.767087311,0.432863294,0.752601088,0.642569192,0.264980276,7.38E-05,0.002038855,0.00026101,-0.108249792,-0.078247878,-0.106737943,-0.150042312,0.082509908,-0.0582258,-0.132791243,-0.083266554,0.013394093,-0.132389332,-0.073520671,0.008956971,-0.044417956,-0.021698403,-0.237961542,-0.287051242,-0.310765151,-0.270046955,-0.259207925,-0.319488943,-0.255007185,-0.336385721,-0.289312344,-0.282537226,-0.354476994
5,3,100,14,6,Elliptical,ls,1,1,8846.992374,1.174334742,0.974553293,1,0.148,0.053,0.021250737,0.038087942,0.025484609,0.845443419,0.830917069,1.800334502,3.045930092,5.693353454,0.324684304,0.782801109,0.438067971,1.309437829,0.981934481,0.302958875,0.000220926,0.002065189,0.00033822,-0.032915254,0.048207928,-0.028411298,-0.13989954,0.486032135,-0.013031296,-0.012950864,-0.009653715,-0.029086553,0.03044464,-0.014327507,-0.911039854,-0.853073887,-0.947339555,-0.985591176,-0.994432445,-0.996960015,-0.998149222,-0.998606372,-0.991361098,-0.98703468,-0.995465529,-0.991395599,-0.995248284,-0.998048378
5,3,100,14,6,Elliptical,wls,1,0,0.069024285,0.530550806,0.098777482,0.087,0.087,0.087,0.020757452,0.037194585,0.02479481,0.730363178,0.394990406,0.428262178,0.664305322,1.961385403,0.324612886,0.757897482,0.435852382,0.698301596,0.651074012,0.297919585,2.10E-06,0.00206083,-0.000492665,-0.192227499,-0.164997874,-0.181492941,-0.222485047,-0.050717959,-0.135289141,-0.208294627,-0.154438719,-0.079685213,-0.199008472,-0.150507786,-0.034608026,-0.08419807,-0.054132458,-0.055609371,-0.141954399,-0.159175205,-0.11103731,-0.08070701,-0.110505381,-0.059316253,-0.152656471,-0.070801122,-0.115122045,-0.153061622
5,3,100,14,6,Elliptical,fites,1,NA,0.049797773,0.561575491,0.109290513,0.29,0.066,0.035,0.021246234,0.038101536,0.025600288,0.744389588,0.350968603,0.396753767,0.632622054,2.43625833,0.315385907,0.727353283,0.434990816,0.870617602,0.601673141,0.266095718,0.000165614,0.002182914,0.000292655,0.005279725,0.008929164,-0.009440594,-0.002908533,0.013737622,-0.017974645,0.007580055,-0.008541131,-0.01634264,-0.005005459,-0.005956204,0.019918767,-0.040096685,-0.003098837,-0.115575335,-0.113820522,-0.174946166,-0.146648266,-0.143080388,-0.12112763,-0.098560274,-0.161265124,-0.141222273,-0.094880099,-0.155826817
5,3,100,14,6,Elliptical,fiteu,1,NA,0.049797773,0.561575491,0.14825733,0.29,0.074,0.042,0.021246234,0.038101536,0.025600288,0.744389588,0.350968603,0.396753767,0.632622054,2.43625833,0.315385907,0.727353283,0.434990816,0.870617602,0.601673141,0.266095718,0.000165614,0.002182914,0.000292655,0.005279725,0.008929164,-0.009440594,-0.002908533,0.013737622,-0.017974645,0.007580055,-0.008541131,-0.01634264,-0.005005459,-0.005956204,0.005447193,-0.049126093,-0.021113226,-0.153733888,-0.169707882,-0.22806253,-0.20983675,-0.172626384,-0.165690892,-0.137063007,-0.219950209,-0.16526935,-0.148640733,-0.229334482
5,3,100,14,6,Elliptical,fitos,1,NA,0.049797773,0.561575491,0.042177603,0.29,0.136,0.072,0.021246234,0.038101536,0.025600288,0.744389588,0.350968603,0.396753767,0.632622054,2.43625833,0.315385907,0.727353283,0.434990816,0.870617602,0.601673141,0.266095718,0.000165614,0.002182914,0.000292655,0.005279725,0.008929164,-0.009440594,-0.002908533,0.013737622,-0.017974645,0.007580055,-0.008541131,-0.01634264,-0.005005459,-0.005956204,0.044941909,-0.023665504,0.027733678,-0.051961707,-0.004608,-0.072558684,-0.014968501,-0.08343186,-0.043855796,-0.030513855,-0.056666247,-0.100399177,0.006584066,-0.028597459
5,3,100,14,6,Skew,gammaN.model,0.996,0.67,0.07626006,0.566805923,0.155751932,0.114457831,0.049196787,0.039156627,0.021973786,0.037086378,0.024792109,0.767418628,0.512469983,0.506490239,0.636774354,1.9510111,0.524294206,0.725931523,0.488676105,0.723506598,0.588892568,0.42596534,-0.003300828,-0.007544959,-0.000996387,-0.155849591,-0.17210786,-0.181243547,-0.193862559,-0.15498289,-0.120054775,-0.149313347,-0.1139945,-0.068345533,-0.150722533,-0.101980666,-0.085350164,-0.069089211,-0.05201795,-0.164595968,-0.224360876,-0.173677447,-0.123327277,-0.08484059,-0.300734398,-0.161364249,-0.246842488,-0.135236275,-0.125232974,-0.233857182
5,3,100,14,6,Skew,gammaN.s,1,0.66,0.065184502,0.567381689,0.14822589,0.054,0.051,0.039,0.02216954,0.037354876,0.025135175,0.791937335,0.521101944,0.521111233,0.671826828,1.789523212,0.526418988,0.758900539,0.499343186,0.714386677,0.625571069,0.438563046,-0.002624753,-0.007187837,-0.000166423,-0.176575738,-0.179786272,-0.195334248,-0.222799217,-0.108875049,-0.120664067,-0.175478139,-0.127473001,-0.055697307,-0.172630121,-0.109874648,-0.092490942,-0.073717987,-0.062720609,-0.152999928,-0.206744881,-0.157829562,-0.107891354,-0.04251786,-0.29163165,-0.1523541,-0.237169214,-0.124565416,-0.135136631,-0.237392321
5,3,100,14,6,Skew,ridgeI,1,0.99,4.279156862,0.612511048,0.166615251,1,0.051,0.037,0.022536815,0.037626865,0.025405685,0.823561006,0.583233351,0.587968238,0.722759003,1.980692598,0.572272016,0.810923457,0.544004922,0.705758172,0.664364176,0.494048376,-0.005808242,-0.010072455,-0.004568615,-0.229121027,-0.239518529,-0.25400655,-0.264798732,-0.209596882,-0.18059518,-0.244312238,-0.177480678,-0.098036825,-0.235423977,-0.17124582,-0.103126232,-0.080420772,-0.08079998,-0.157851435,-0.214814095,-0.168008046,-0.135684809,-0.084833621,-0.318132093,-0.157913291,-0.278856701,-0.130843547,-0.132927005,-0.288401879
5,3,100,14,6,Skew,ridgeD,1,0,0.067072241,0.631821267,0.188048409,0.063,0.063,0.063,0.023124937,0.038934573,0.02582121,0.854865466,0.625551264,0.647295958,0.767216821,1.995364661,0.580187324,0.823003535,0.553992507,0.709753437,0.668829026,0.531557016,-0.006576925,-0.013098845,-0.004189383,-0.254036125,-0.296401045,-0.316724963,-0.311031748,-0.224078754,-0.190471333,-0.252204703,-0.185278191,-0.106049121,-0.24055659,-0.180188993,-0.131378947,-0.103554458,-0.112181126,-0.183075943,-0.220133801,-0.152976658,-0.148831101,-0.112760696,-0.329183485,-0.185663405,-0.29644839,-0.155001253,-0.153238646,-0.34824981
5,3,100,14,6,Skew,gls.model,1,1,0.092866702,0.721058822,0.236284637,0.212,0.051,0.026,0.022241829,0.038301584,0.02574294,0.90963667,0.669358031,0.588518048,0.762737181,2.420342241,0.611208549,0.901613851,0.681531698,0.995885499,0.892879851,0.574825535,8.01E-05,-0.003097869,0.00261597,0.001578377,-0.013001102,-0.017819676,-0.018646963,-0.062831448,-0.005721244,0.045044304,0.002382143,-0.0142948,0.021095692,0.015074325,-0.035118002,-0.057298091,-0.009207224,-0.478250072,-0.660844063,-0.59854118,-0.485044509,-0.321751647,-0.678987268,-0.498585683,-0.61852105,-0.466466357,-0.57605249,-0.729391984
5,3,100,14,6,Skew,gls.s,1,1,0.087321003,0.630265496,0.163686587,0.185,0.045,0.026,0.02268212,0.038271674,0.025882026,0.878464913,0.621425187,0.573832132,0.76808799,1.980822546,0.556011906,0.801276334,0.53046906,0.848688655,0.69296971,0.484832688,0.000159459,-0.00311625,0.002654084,-0.092557072,-0.082579416,-0.098968578,-0.146528167,0.020279735,-0.059874292,-0.090245863,-0.081411098,-0.016512874,-0.104772528,-0.052866016,-0.068526824,-0.065497865,-0.030716001,-0.406911044,-0.612214651,-0.551567193,-0.409154948,-0.244627619,-0.633289476,-0.355562367,-0.473612421,-0.378693891,-0.381411871,-0.663775344
5,3,100,14,6,Skew,ls,1,1,12205.23048,2.013768844,0.976306384,1,0.131,0.036,0.022316983,0.038517219,0.025775719,1.080111834,1.222623061,1.972653609,2.775107415,15.44888791,0.626557755,1.031903406,0.706454969,1.419685886,1.181424601,0.640743452,0.000554014,0.000850452,0.001677346,0.030328539,-0.066963303,0.046620564,0.039136141,-0.398332894,-0.007897841,0.054864715,0.005462508,-0.018857934,-0.005351757,0.0231887,-0.915296831,-0.854712801,-0.947898419,-0.989418621,-0.99574831,-0.997424151,-0.998320844,-0.998732433,-0.995549781,-0.990786408,-0.997231082,-0.992147861,-0.995910314,-0.999111529
5,3,100,14,6,Skew,wls,1,0,0.067072241,0.631821267,0.188048409,0.063,0.063,0.063,0.023124937,0.038934573,0.02582121,0.854865466,0.625551264,0.647295958,0.767216821,1.995364661,0.580187324,0.823003535,0.553992507,0.709753437,0.668829026,0.531557016,-0.006576925,-0.013098845,-0.004189383,-0.254036125,-0.296401045,-0.316724963,-0.311031748,-0.224078754,-0.190471333,-0.252204703,-0.185278191,-0.106049121,-0.24055659,-0.180188993,-0.131378947,-0.103554458,-0.112181126,-0.183075943,-0.220133801,-0.152976658,-0.148831101,-0.112760696,-0.329183485,-0.185663405,-0.29644839,-0.155001253,-0.153238646,-0.34824981
5,3,100,14,6,Skew,fites,1,NA,0.049797773,0.72172116,0.24369539,0.227,0.067,0.033,0.022241142,0.038288203,0.025743162,0.908687263,0.671879101,0.588783294,0.762843098,2.414194463,0.613129202,0.897747284,0.683006899,1.012902711,0.889341248,0.575309172,8.69E-05,-0.003072699,0.002628082,0.013072008,-0.002628016,-0.007869944,-0.007838894,-0.050226855,-0.007987112,0.053325511,0.000797206,-0.026658958,0.026592836,0.014436895,-0.039926838,-0.06177138,-0.01414158,-0.252158295,-0.350359936,-0.265452948,-0.23172036,-0.14836639,-0.340680702,-0.2924251,-0.40485292,-0.240706918,-0.382078788,-0.387093301
5,3,100,14,6,Skew,fiteu,1,NA,0.049797773,0.72172116,0.285177662,0.227,0.07,0.039,0.022241142,0.038288203,0.025743162,0.908687263,0.671879101,0.588783294,0.762843098,2.414194463,0.613129202,0.897747284,0.683006899,1.012902711,0.889341248,0.575309172,8.69E-05,-0.003072699,0.002628082,0.013072008,-0.002628016,-0.007869944,-0.007838894,-0.050226855,-0.007987112,0.053325511,0.000797206,-0.026658958,0.026592836,0.014436895,-0.054767613,-0.070713614,-0.030392437,-0.300447575,-0.393746781,-0.310526563,-0.291350091,-0.18271287,-0.388948144,-0.35092761,-0.460031422,-0.279269621,-0.444097764,-0.434555161
5,3,100,14,6,Skew,fitos,1,NA,0.049797773,0.72172116,0.179365391,0.227,0.138,0.094,0.022241142,0.038288203,0.025743162,0.908687263,0.671879101,0.588783294,0.762843098,2.414194463,0.613129202,0.897747284,0.683006899,1.012902711,0.889341248,0.575309172,8.69E-05,-0.003072699,0.002628082,0.013072008,-0.002628016,-0.007869944,-0.007838894,-0.050226855,-0.007987112,0.053325511,0.000797206,-0.026658958,0.026592836,0.014436895,-0.019122072,-0.048314117,0.013354307,-0.192559534,-0.279029236,-0.187920331,-0.118035121,-0.089709667,-0.265666472,-0.208907564,-0.307129817,-0.185686193,-0.285346393,-0.310334649
5,3,200,14,6,Norm,gammaN.model,1,0.88,0.030947675,0.259553526,0.017827364,0.054,0.054,0.053,0.015919086,0.027221212,0.018561922,0.349031899,0.166092756,0.170558912,0.295270056,1.123599241,0.145301012,0.342336631,0.189555777,0.395399006,0.285070679,0.109831175,0.000209675,0.001482543,-0.00053957,0.003675063,-0.008613359,-0.005486614,-0.022566522,0.043629016,-0.010487845,0.010978316,-0.007718471,-0.007024145,-0.001491884,-0.007702925,-0.02585933,-0.033206406,-0.019665353,0.006536093,-0.018073803,-0.009356316,-0.022396858,-0.022416706,-0.036451018,0.004777281,-0.013526244,-0.013460693,-0.017747415,-0.006109574
5,3,200,14,6,Norm,gammaN.s,1,1,0.030383671,0.258362348,0.017542864,0.049,0.051,0.05,0.015950139,0.027329902,0.01866304,0.350803805,0.168884412,0.173010276,0.304548438,1.081798593,0.146231957,0.347366069,0.194397006,0.384469641,0.290302638,0.113316954,0.000140648,0.001461589,-0.000608922,-0.021043097,-0.024637205,-0.02539621,-0.052990118,0.0593752,-0.020031906,-0.019088363,-0.025231235,0.001327434,-0.028570161,-0.022286396,-0.027559079,-0.036009205,-0.024908819,0.040498845,0.001004808,0.017840725,-0.000631175,0.008955605,-0.018489128,0.033674278,-0.004957586,0.01658637,0.003735247,0.010749219
5,3,200,14,6,Norm,ridgeI,1,0.99,2.228182556,0.263355133,0.036493003,1,0.081,0.061,0.015988944,0.027382665,0.018700099,0.359994457,0.17251363,0.175766207,0.307253598,1.106318206,0.150069396,0.35364322,0.19756667,0.391474958,0.29560065,0.114699157,0.000198433,0.001365843,-0.000505486,-0.018757179,-0.024587344,-0.023681003,-0.050074765,0.052923147,-0.019771843,-0.018306403,-0.02471234,-0.000208275,-0.027950441,-0.022205266,-0.03953587,-0.046382338,-0.037480814,-0.015881385,-0.047944904,-0.02876829,-0.039865646,-0.029570044,-0.067133564,-0.011973713,-0.047437722,-0.024371572,-0.039279729,-0.035276453
5,3,200,14,6,Norm,ridgeD,1,0,0.032323473,0.266200337,0.050710462,0.07,0.07,0.07,0.016089801,0.027495386,0.018863997,0.366124628,0.174841949,0.178101731,0.31301953,1.112801101,0.151240984,0.357747838,0.199197876,0.396672277,0.299126034,0.11548158,0.000122772,0.0012907,-0.000511391,-0.020913795,-0.025557508,-0.023860205,-0.053373796,0.060782842,-0.019908302,-0.018487225,-0.024737813,-0.001277404,-0.026777233,-0.022501609,-0.048592374,-0.053597574,-0.049174219,-0.035385358,-0.064683354,-0.046956987,-0.058449206,-0.047323017,-0.077810513,-0.027589415,-0.058550334,-0.040863664,-0.056282529,-0.044687928
5,3,200,14,6,Norm,gls.model,1,1,0.030758287,0.259674021,0.014591042,0.051,0.053,0.048,0.015927738,0.027227006,0.018559103,0.348288259,0.165738447,0.170413111,0.294266008,1.128636861,0.145061595,0.341731594,0.189111385,0.396377875,0.284418995,0.109678323,0.000225107,0.001517211,-0.000542464,0.007139527,-0.006154029,-0.002898296,-0.018274231,0.041165283,-0.009257731,0.015071288,-0.005451191,-0.007820584,0.002081463,-0.005650204,-0.022764346,-0.030310054,-0.015467066,0.020344954,-0.004334654,0.00350271,-0.010479496,-0.013299187,-0.024155643,0.01743832,0.000384411,-0.002530341,-0.007422439,0.01363056
5,3,200,14,6,Norm,gls.s,1,1,0.030383671,0.258362348,0.016174769,0.049,0.051,0.05,0.015950139,0.027329902,0.01866304,0.350803805,0.168884412,0.173010276,0.304548438,1.081798593,0.146231957,0.347366069,0.194397006,0.384469641,0.290302638,0.113316954,0.000140648,0.001461589,-0.000608922,-0.021043097,-0.024637205,-0.02539621,-0.052990118,0.0593752,-0.020031906,-0.019088363,-0.025231235,0.001327434,-0.028570161,-0.022286396,-0.027559079,-0.036009205,-0.024908819,0.040498845,0.001004808,0.017840725,-0.000631175,0.008955605,-0.018489128,0.033674278,-0.004957586,0.01658637,0.003735247,0.010749219
5,3,200,14,6,Norm,ls,1,1,1762.638777,0.602468968,0.972458307,1,0.15,0.048,0.015856283,0.027277899,0.018521452,0.37361784,0.398765122,0.757343204,1.199888453,3.798902837,0.145112705,0.351506587,0.191684767,0.566472495,0.454807685,0.134808222,0.000266641,0.001544975,-0.000572561,0.013061643,-0.010976143,0.005632859,-0.018262394,0.024084017,-0.010814423,0.018913504,-0.006469013,-0.011860053,0.003058385,-0.005513655,-0.915903633,-0.855205855,-0.948826663,-0.978051152,-0.99133759,-0.995075972,-0.997100585,-0.99786582,-0.986369628,-0.980246726,-0.992711798,-0.98621637,-0.992569675,-0.996934827
5,3,200,14,6,Norm,wls,1,0,0.032323473,0.266200337,0.050710462,0.07,0.07,0.07,0.016089801,0.027495386,0.018863997,0.366124628,0.174841949,0.178101731,0.31301953,1.112801101,0.151240984,0.357747838,0.199197876,0.396672277,0.299126034,0.11548158,0.000122772,0.0012907,-0.000511391,-0.020913795,-0.025557508,-0.023860205,-0.053373796,0.060782842,-0.019908302,-0.018487225,-0.024737813,-0.001277404,-0.026777233,-0.022501609,-0.048592374,-0.053597574,-0.049174219,-0.035385358,-0.064683354,-0.046956987,-0.058449206,-0.047323017,-0.077810513,-0.027589415,-0.058550334,-0.040863664,-0.056282529,-0.044687928
5,3,200,14,6,Norm,fites,1,NA,0.049797773,0.260030887,0.017716578,0.055,0.058,0.055,0.015927279,0.0272255,0.018558315,0.348687271,0.165350928,0.170523894,0.294049939,1.128702016,0.145481436,0.341635898,0.189374912,0.400952484,0.284210579,0.109751971,0.000225081,0.001519389,-0.0005418,0.012477536,-0.000824139,0.002181502,-0.013530636,0.047964275,-0.010420222,0.019149798,-0.006224515,-0.014438548,0.005205241,-0.006046178,-0.025182559,-0.032685461,-0.017893179,0.002960687,-0.018102509,-0.012988363,-0.024623147,-0.027593475,-0.034650293,0.002826808,-0.010650509,-0.016368414,-0.01743434,-0.004072356
5,3,200,14,6,Norm,fiteu,1,NA,0.049797773,0.260030887,0.020695444,0.055,0.056,0.055,0.015927279,0.0272255,0.018558315,0.348687271,0.165350928,0.170523894,0.294049939,1.128702016,0.145481436,0.341635898,0.189374912,0.400952484,0.284210579,0.109751971,0.000225081,0.001519389,-0.0005418,0.012477536,-0.000824139,0.002181502,-0.013530636,0.047964275,-0.010420222,0.019149798,-0.006224515,-0.014438548,0.005205241,-0.006046178,-0.028623789,-0.034667917,-0.022030652,0.000475867,-0.023486986,-0.016942139,-0.029697037,-0.029175582,-0.038092731,0.000580232,-0.016063616,-0.017626542,-0.022267113,-0.010006008
5,3,200,14,6,Norm,fitos,1,NA,0.049797773,0.260030887,0.012609478,0.055,0.065,0.059,0.015927279,0.0272255,0.018558315,0.348687271,0.165350928,0.170523894,0.294049939,1.128702016,0.145481436,0.341635898,0.189374912,0.400952484,0.284210579,0.109751971,0.000225081,0.001519389,-0.0005418,0.012477536,-0.000824139,0.002181502,-0.013530636,0.047964275,-0.010420222,0.019149798,-0.006224515,-0.014438548,0.005205241,-0.006046178,-0.021647559,-0.030553103,-0.013692916,0.010959086,6.91E-06,0.001245653,-0.00713407,-0.02192808,-0.024101803,0.009733084,0.006172884,-0.012136636,-0.003200162,0.014020736
