p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.beta1,RMSE.beta2,RMSE.gamma1,RMSE.gamma2,RMSE.gamma3,RMSE.gamma4,RMSE.gamma5,RMSE.gamma6,RMSE.gamma7,RMSE.gamma8,RMSE.gamma9,RMSE.gamma10,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.psi44,RMSE.psi55,RMSE.psi66,RMSE.psi77,RMSE.psi88,RMSE.psi99,RMSE.psi1010,RMSE.phi11,RMSE.phi12,RMSE.phi22,BIAS.alpha1,BIAS.alpha2,BIAS.beta1,BIAS.beta2,BIAS.gamma1,BIAS.gamma2,BIAS.gamma3,BIAS.gamma4,BIAS.gamma5,BIAS.gamma6,BIAS.gamma7,BIAS.gamma8,BIAS.gamma9,BIAS.gamma10,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.psi44,BIAS.psi55,BIAS.psi66,BIAS.psi77,BIAS.psi88,BIAS.psi99,BIAS.psi1010,BIAS.phi11,BIAS.phi12,BIAS.phi22,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.beta1,SE BIAS.beta2,SE BIAS.gamma1,SE BIAS.gamma2,SE BIAS.gamma3,SE BIAS.gamma4,SE BIAS.gamma5,SE BIAS.gamma6,SE BIAS.gamma7,SE BIAS.gamma8,SE BIAS.gamma9,SE BIAS.gamma10,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.psi44,SE BIAS.psi55,SE BIAS.psi66,SE BIAS.psi77,SE BIAS.psi88,SE BIAS.psi99,SE BIAS.psi1010,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi22
10,2,1000,94,158,Elliptical,wls,1,0,0.192552168,0.18708134,0.20879421,0.554,0.554,0.554,0.006312886,0.00745639,0.078593166,0.037516291,0.130512024,0.066320668,0.042027732,0.029783373,0.024464676,0.020072933,0.016557695,0.016114153,0.014545885,0.013874741,0.350614489,0.351701421,0.35095885,0.351067839,0.346388534,0.35025844,0.350824835,0.355214537,0.34980162,0.353876309,0.340802044,0.350327976,0.345206671,0.000226359,0.00011257,-0.001357035,0.000791384,0.003485888,0.001309135,-0.000588023,0.000954881,0.000321824,-0.000818143,-0.000714647,-0.001209229,0.000204183,-0.001446127,-0.252399722,-0.254055376,-0.25483955,-0.254907437,-0.252446405,-0.254707803,-0.25501758,-0.256078064,-0.252704233,-0.25351915,-0.249488757,-0.250287847,-0.252582538,-0.158133202,-0.141316548,-0.210346876,-0.204783374,-0.179525246,-0.236805121,-0.228986114,-0.204147784,-0.231258713,-0.215094664,-0.169547668,-0.228106694,-0.208664817,-0.193346451,-0.201823799,-0.224027689,-0.198438083,-0.233909644,-0.22903609,-0.218335798,-0.200595371,-0.258074338,-0.213998624,-0.198932258,-0.222342021,-0.205588965,-0.222277711
10,2,1000,94,158,Elliptical,fites,1,NA,0.193643391,0.070981696,0.082459163,1,0.049,0,0.006555012,0.007757934,0.090554311,0.043894143,0.155876226,0.075750377,0.045305762,0.035922901,0.025986712,0.022164253,0.019400046,0.016978156,0.015957346,0.015981647,0.128791577,0.107654551,0.095889413,0.094710443,0.090205752,0.091921899,0.096656577,0.10157418,0.098636923,0.121098343,0.093791613,0.130632268,0.086857434,0.000310451,-7.51E-05,-0.002242663,0.001343691,0.001119407,-0.001746502,0.000272983,0.000239212,0.000629387,-0.000464566,-0.000486355,-0.000226624,-0.000145958,-0.001002796,0.001506267,-4.97E-05,-0.002001306,-0.005115521,0.002044186,0.001590737,-0.00029697,0.003228408,-0.002474591,-0.000870372,-0.001187913,-0.005417208,-0.003488328,0.003664555,0.021844148,-0.088757718,-0.091095424,-0.080356301,-0.096090128,-0.044807784,-0.104044359,-0.031166463,-0.050106716,-0.053853403,-0.01787879,-0.03715052,-0.065307223,-0.192375858,-0.134919882,-0.089590243,-0.124012325,-0.072231943,-0.095248236,-0.122202834,-0.11447883,-0.028091915,-0.113041628,-0.128012415,-0.112618631,-0.113449129
10,2,1000,94,158,Elliptical,fiteu,1,NA,0.193643391,0.070981696,0.191278495,1,0.218,0.008,0.006555012,0.007757934,0.090554311,0.043894143,0.155876226,0.075750377,0.045305762,0.035922901,0.025986712,0.022164253,0.019400046,0.016978156,0.015957346,0.015981647,0.128791577,0.107654551,0.095889413,0.094710443,0.090205752,0.091921899,0.096656577,0.10157418,0.098636923,0.121098343,0.093791613,0.130632268,0.086857434,0.000310451,-7.51E-05,-0.002242663,0.001343691,0.001119407,-0.001746502,0.000272983,0.000239212,0.000629387,-0.000464566,-0.000486355,-0.000226624,-0.000145958,-0.001002796,0.001506267,-4.97E-05,-0.002001306,-0.005115521,0.002044186,0.001590737,-0.00029697,0.003228408,-0.002474591,-0.000870372,-0.001187913,-0.005417208,-0.003488328,-0.004957278,0.012567668,-0.220470999,-0.227924576,-0.152532184,-0.179104359,-0.1239793,-0.186632245,-0.11068532,-0.132157666,-0.13784227,-0.102310648,-0.115047999,-0.147079631,-0.322743893,-0.273795831,-0.237653872,-0.261622722,-0.231947027,-0.242634108,-0.269638958,-0.25811085,-0.174000473,-0.242113523,-0.276523356,-0.25412496,-0.266317649
10,2,1000,94,158,Elliptical,fitos,1,NA,0.193643391,0.070981696,0.164833024,1,0.025,0.005,0.006555012,0.007757934,0.090554311,0.043894143,0.155876226,0.075750377,0.045305762,0.035922901,0.025986712,0.022164253,0.019400046,0.016978156,0.015957346,0.015981647,0.128791577,0.107654551,0.095889413,0.094710443,0.090205752,0.091921899,0.096656577,0.10157418,0.098636923,0.121098343,0.093791613,0.130632268,0.086857434,0.000310451,-7.51E-05,-0.002242663,0.001343691,0.001119407,-0.001746502,0.000272983,0.000239212,0.000629387,-0.000464566,-0.000486355,-0.000226624,-0.000145958,-0.001002796,0.001506267,-4.97E-05,-0.002001306,-0.005115521,0.002044186,0.001590737,-0.00029697,0.003228408,-0.002474591,-0.000870372,-0.001187913,-0.005417208,-0.003488328,0.024494629,0.043078425,0.195431769,0.20303042,0.126113647,0.135607987,0.181671338,0.12736347,0.197558276,0.187839046,0.18790592,0.229007546,0.176119307,0.168302804,0.067551141,0.160493105,0.197033953,0.14770647,0.240779909,0.191049922,0.174860303,0.167072729,0.253209541,0.151353342,0.162761676,0.172316315,0.180778655
10,2,1000,94,158,Skew,gammaN.model,1,0.97,0.280949004,0.097677885,0.071362435,0.997,0.053,0.002,0.006446224,0.007661726,0.072800957,0.034907469,0.125281119,0.056873032,0.038620148,0.027035987,0.022189169,0.018126477,0.015734737,0.014139884,0.013053343,0.01329022,0.181612396,0.174315047,0.168611387,0.16604462,0.16323796,0.162549066,0.172473546,0.167847662,0.17314291,0.17444116,0.15976605,0.152583782,0.154516817,-0.001245529,-0.001171364,-0.000451274,-0.000331255,-0.001539263,-0.002459807,-0.001662593,0.000404029,-0.000953482,-0.00010765,-0.000424337,-0.000133063,-0.000168362,-0.000273948,-0.061484418,-0.067310508,-0.058408009,-0.062367714,-0.058371807,-0.057346195,-0.060905499,-0.059505152,-0.068210206,-0.0559844,-0.059318521,-0.058122155,-0.059915682,-0.013622372,-0.006622298,-0.072743784,-0.080405443,-0.058422208,-0.020260408,-0.080432277,-0.035414966,-0.069047369,-0.041758632,-0.053481967,-0.034237659,-0.030677019,-0.081557514,-0.126797628,-0.089910236,-0.111065352,-0.091853306,-0.075353987,-0.084786468,-0.125270498,-0.093400368,-0.07916578,-0.079164842,-0.095321736,-0.083186997,-0.112824621
10,2,1000,94,158,Skew,gammaN.s,1,0.99,0.278733446,0.111666482,0.084542033,0.993,0.036,0.001,0.00643914,0.007775692,0.079699681,0.038828651,0.133757254,0.061500637,0.040963478,0.029128288,0.023812872,0.019707859,0.017214395,0.015292651,0.014108048,0.014186486,0.207046532,0.201769895,0.19449058,0.194613987,0.19066499,0.188579482,0.199016415,0.197231479,0.199026879,0.197451948,0.183166418,0.179204314,0.180316955,-0.000584643,-0.000466363,-0.001903833,-0.001169139,-0.001984297,-0.001463166,-0.001983469,0.000159077,-0.000950248,-0.000139486,-0.00044641,-0.000280891,-0.000132166,-0.000155924,-0.094619188,-0.09804925,-0.089961979,-0.094424012,-0.088885931,-0.087260195,-0.091915528,-0.090608534,-0.099111245,-0.087640682,-0.090881577,-0.090375481,-0.090144614,-0.004762763,-0.007362627,-0.103983063,-0.126466888,-0.069798651,-0.041720107,-0.082957577,-0.050746378,-0.083020927,-0.066240629,-0.082597316,-0.054484764,-0.055748847,-0.091352539,-0.127729297,-0.099781078,-0.11917307,-0.109838196,-0.090320182,-0.094338844,-0.134544424,-0.1190385,-0.08043487,-0.07795224,-0.090940278,-0.091250463,-0.126050369
10,2,1000,94,158,Skew,ridgeI,1,0.95,1.855857568,0.21025129,0.139918538,1,0.258,0.156,0.010264171,0.010843777,0.072896777,0.033687664,0.134244465,0.06137255,0.041874138,0.032393879,0.026978349,0.0247674,0.023488026,0.02317127,0.023172748,0.022268878,0.378341501,0.384587149,0.37814664,0.377974742,0.386679539,0.371954647,0.396429516,0.401202016,0.445768148,0.462819323,0.393964938,0.374249978,0.3832426,-0.008080089,-0.007950121,0.002223909,-0.003183375,-0.005095789,0.000338342,0.003539715,0.006200178,0.004232938,0.004430955,0.004554536,0.005230226,0.005662417,0.005619867,-0.257543042,-0.261730342,-0.256197479,-0.256166303,-0.257888903,-0.24381525,-0.252834594,-0.244767267,-0.259578415,-0.252555338,-0.270099545,-0.260592121,-0.265845833,-0.125272852,-0.108998437,-0.13910979,-0.105617662,-0.152037745,-0.138789409,-0.147253142,-0.130795147,-0.129306164,-0.145482081,-0.157889745,-0.158556919,-0.167387296,-0.12926073,-0.155774825,-0.178557251,-0.187133524,-0.128584254,-0.128527184,-0.133983988,-0.119049659,-0.130917742,-0.118865312,-0.114778419,-0.170219243,-0.127187681,-0.14846432
10,2,1000,94,158,Skew,ridgeD,1,0.01,0.067320682,0.243219034,0.110921746,0,0.203,0.095,0.009043905,0.010076016,0.073379615,0.033433224,0.123764457,0.058612842,0.03957903,0.030164295,0.025341149,0.022303098,0.020157898,0.019453665,0.018562834,0.017158317,0.306742077,0.295193389,0.298445113,0.328954856,0.407204778,0.445224079,0.610756092,0.631325579,0.823239856,0.942632735,0.324657023,0.31973773,0.331770255,-0.006517555,-0.006835745,0.004963531,0.001296297,-0.000443266,-0.00118103,0.000997511,0.002113015,-0.000184675,0.000436556,0.000229902,7.38E-05,0.000350624,0.000176562,-0.212821818,-0.205246883,-0.190481146,-0.183263837,-0.183969132,-0.150930387,-0.175579106,-0.129604378,-0.155097936,-0.133391404,-0.226472483,-0.225568448,-0.233927428,-0.111084079,-0.100894627,-0.123029204,-0.091985691,-0.107092897,-0.104546715,-0.112474434,-0.097202876,-0.109570433,-0.109508326,-0.107993434,-0.119817019,-0.12194954,-0.063817709,-0.115373917,-0.13326981,-0.180626185,-0.113473411,-0.118694357,-0.064747524,-0.128224354,-0.036675124,-0.079810661,-0.062319406,-0.172538837,-0.144497057,-0.163669519
10,2,1000,94,158,Skew,gls.model,1,1,0.345337507,0.116233316,0.505537909,0.998,0.046,0,0.006537154,0.007819083,0.084649968,0.041368466,0.148202079,0.067560286,0.047384831,0.033708005,0.026475752,0.021844912,0.02021543,0.016979838,0.015492463,0.015753081,0.225977482,0.220393181,0.210779116,0.194126032,0.194440341,0.194586986,0.207848762,0.205505919,0.200499192,0.202575139,0.177384406,0.169690053,0.180501565,-0.000236197,-7.40E-05,-0.002403083,-0.001155768,-0.00304138,-0.002115591,-0.002635849,0.000213459,-0.000831325,-0.000405089,-0.000522987,-0.000626704,-0.000286385,-0.000277618,-0.004777027,-0.007561231,0.003927185,-0.004342709,0.004467868,0.006255106,0.002360281,0.000573185,-0.009599766,0.001211281,-0.003902892,-0.003676688,0.000414267,0.003679918,0.014248431,-0.346193033,-0.353434465,-0.349684942,-0.327935568,-0.383094415,-0.370693978,-0.358597473,-0.351914894,-0.395175294,-0.347617309,-0.334909464,-0.369037307,-0.716885628,-0.740181583,-0.749309832,-0.739792409,-0.74562105,-0.744671612,-0.753809036,-0.736148442,-0.702113766,-0.666792996,-0.726277078,-0.572387977,-0.749315632
10,2,1000,94,158,Skew,gls.s,1,1,0.30968778,0.113719212,0.462811336,0.996,0.035,0,0.00650213,0.007859217,0.082726366,0.040642343,0.141909611,0.066191762,0.043927357,0.032353889,0.025411741,0.021106644,0.018992048,0.016324734,0.01489396,0.015035871,0.212071422,0.202736152,0.197883472,0.195944022,0.192949794,0.192190207,0.200843932,0.202711884,0.199742076,0.19928277,0.182266367,0.178344222,0.179574744,-0.000236655,-8.65E-05,-0.002450129,-0.001416121,-0.00267219,-0.001310342,-0.002341215,0.000104337,-0.000859225,-0.000235117,-0.000411097,-0.000514283,-0.000202537,-0.000143727,-0.081533496,-0.08522084,-0.075482148,-0.081275647,-0.07388654,-0.071981603,-0.077425412,-0.076514393,-0.086161009,-0.074884967,-0.078107298,-0.077668122,-0.076231524,0.000180664,-0.000180116,-0.305991652,-0.317817479,-0.307238666,-0.301141332,-0.321463918,-0.330894107,-0.319035084,-0.316554043,-0.34357723,-0.307264962,-0.294114227,-0.325377214,-0.653545182,-0.668659172,-0.694410932,-0.69929711,-0.706854408,-0.705923127,-0.707642944,-0.694664457,-0.646920816,-0.613695989,-0.687371642,-0.520960385,-0.705129223
