p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.beta1,RMSE.beta2,RMSE.gamma1,RMSE.gamma2,RMSE.gamma3,RMSE.gamma4,RMSE.gamma5,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.psi44,RMSE.psi55,RMSE.phi11,RMSE.phi12,RMSE.phi22,BIAS.alpha1,BIAS.alpha2,BIAS.beta1,BIAS.beta2,BIAS.gamma1,BIAS.gamma2,BIAS.gamma3,BIAS.gamma4,BIAS.gamma5,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.psi44,BIAS.psi55,BIAS.phi11,BIAS.phi12,BIAS.phi22,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.beta1,SE BIAS.beta2,SE BIAS.gamma1,SE BIAS.gamma2,SE BIAS.gamma3,SE BIAS.gamma4,SE BIAS.gamma5,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.psi44,SE BIAS.psi55,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi22
5,2,200,39,38,Norm,ridgeD,1,0,0.243562112,0.151670153,0.255285863,0.327,0.327,0.327,0.017623611,0.020382434,0.151358708,0.075088005,0.280092564,0.122740633,0.077355736,0.068184423,0.06663132,0.25461946,0.192572826,0.173359056,0.217111195,0.296017015,0.168876229,0.235995907,0.160383481,0.000222789,-0.000296939,-0.005455142,-0.000394691,-0.001237617,0.003926118,6.53E-05,-0.003250183,-0.003095296,-0.094924155,-0.092701929,-0.079294433,-0.094838472,-0.070831006,-0.079593707,-0.093957824,-0.079172972,-0.239244539,-0.195799011,-0.239311312,-0.252408013,-0.248245106,-0.260993356,-0.230232996,-0.29509664,-0.281524667,-0.268179117,-0.256144441,-0.255176396,-0.256909483,-0.245669705,-0.282424012,-0.265963114,-0.26653777
5,2,200,39,38,Norm,gls.model,1,1,0.190156261,0.118851702,0.024245506,0.053,0.057,0.036,0.015258124,0.017892875,0.128545365,0.062108365,0.237279907,0.101843188,0.065825826,0.056992939,0.055585563,0.191326828,0.139939611,0.125378068,0.162222024,0.249399942,0.123230821,0.174651754,0.112997729,0.00048856,-0.000172524,-0.006612083,-0.001512364,0.004889846,0.005868709,0.001744256,-0.002969862,-0.000614371,-0.014825646,-0.013386305,-0.007384119,-0.019332208,-0.008200199,-0.010576248,-0.008071282,-0.008788842,-0.009013966,0.034337227,-0.008149876,-0.001353872,-0.013290966,0.000724149,0.011811416,-0.053676225,-0.041781785,-0.026787784,-0.042250687,-0.005511922,-0.029596301,-0.038447527,-0.05353772,-0.023775282,-0.018126892
5,2,200,39,38,Norm,gls.s,1,1,0.183731272,0.135675744,0.030189701,0.029,0.034,0.02,0.015368186,0.018054921,0.138209848,0.066412187,0.245711748,0.107181543,0.067811251,0.059338553,0.058010061,0.22034255,0.175091307,0.159709241,0.19521209,0.264979249,0.156447929,0.211694424,0.146912557,0.000445118,-0.000183902,-0.005349784,-0.001424403,0.003965,0.004669763,0.001195102,-0.002915519,-0.001187685,-0.084914526,-0.088727968,-0.082942434,-0.093321885,-0.067325969,-0.080881604,-0.092074243,-0.079591932,-0.022144677,0.018911377,-0.037989145,-0.024408087,-0.016646925,-0.021721821,0.009422477,-0.065096244,-0.052146037,-0.027167743,-0.040004803,-0.010712458,-0.011457168,-0.024701925,-0.065061248,-0.034770181,-0.030862597
5,2,200,39,38,Norm,ls,0.672,1,71.0943243,1.896278306,0.888090385,1,0.400297619,0.212797619,0.01826838,0.026949093,0.129987851,0.065471826,2.292253869,2.086181259,1.850646494,1.675736016,1.566141034,2.165509105,10.134406,3.799929991,3.026196239,2.558857234,0.175483749,0.366222654,0.298490404,-0.000373142,0.001200963,-0.002997221,0.001984852,3.059397944,2.865736639,2.751547891,2.448131955,2.649382926,-0.442775827,-1.343891659,-2.843939495,-4.373519206,-7.131234569,-0.057803219,-0.14808123,-0.138523898,-0.593135216,-0.433816468,-0.857150881,-0.723998329,-0.982429873,-0.977311003,-0.977976602,-0.978707876,-0.976716531,-0.974093052,-0.973140856,-0.975933806,-0.97645333,-0.975004672,-0.946064697,-0.901146239,-0.874457114
5,2,200,39,38,Norm,wls,1,0,0.243562112,0.151670153,0.255285863,0.327,0.327,0.327,0.017623611,0.020382434,0.151358708,0.075088005,0.280092564,0.122740633,0.077355736,0.068184423,0.06663132,0.25461946,0.192572826,0.173359056,0.217111195,0.296017015,0.168876229,0.235995907,0.160383481,0.000222789,-0.000296939,-0.005455142,-0.000394691,-0.001237617,0.003926118,6.53E-05,-0.003250183,-0.003095296,-0.094924155,-0.092701929,-0.079294433,-0.094838472,-0.070831006,-0.079593707,-0.093957824,-0.079172972,-0.239244539,-0.195799011,-0.239311312,-0.252408013,-0.248245106,-0.260993356,-0.230232996,-0.29509664,-0.281524667,-0.268179117,-0.256144441,-0.255176396,-0.256909483,-0.245669705,-0.282424012,-0.265963114,-0.26653777
5,2,200,39,38,Norm,fites,1,NA,0.193643391,0.11874982,0.033756165,0.073,0.075,0.057,0.015256891,0.017893677,0.128533569,0.062106801,0.237319586,0.101850358,0.065816815,0.057004262,0.055596674,0.190965499,0.139234565,0.124880344,0.161764916,0.249548708,0.123402809,0.174463041,0.113108429,0.000489131,-0.000172353,-0.006598161,-0.001517713,0.004928993,0.005869799,0.001736729,-0.002969712,-0.000612351,-0.009471477,-0.008123629,-0.002393454,-0.014688632,-0.002979815,-0.011382328,-0.006992118,-0.009313724,-0.011604992,0.031317983,-0.019497678,-0.011357182,-0.022810203,-0.00981825,0.004442342,-0.061483707,-0.05263073,-0.041404751,-0.052727624,-0.017740001,-0.044426595,-0.054244669,-0.070380695,-0.03429065,-0.033676751
5,2,200,39,38,Norm,fiteu,1,NA,0.193643391,0.11874982,0.056450583,0.073,0.076,0.06,0.015256891,0.017893677,0.128533569,0.062106801,0.237319586,0.101850358,0.065816815,0.057004262,0.055596674,0.190965499,0.139234565,0.124880344,0.161764916,0.249548708,0.123402809,0.174463041,0.113108429,0.000489131,-0.000172353,-0.006598161,-0.001517713,0.004928993,0.005869799,0.001736729,-0.002969712,-0.000612351,-0.009471477,-0.008123629,-0.002393454,-0.014688632,-0.002979815,-0.011382328,-0.006992118,-0.009313724,-0.018185518,0.024648502,-0.053864501,-0.047131543,-0.038507377,-0.028690192,-0.014697773,-0.080068656,-0.068600033,-0.067864373,-0.082412097,-0.048938368,-0.073630765,-0.076609471,-0.099968786,-0.06941205,-0.066429901
5,2,200,39,38,Norm,fitos,1,NA,0.193643391,0.11874982,0.049802702,0.073,0.103,0.064,0.015256891,0.017893677,0.128533569,0.062106801,0.237319586,0.101850358,0.065816815,0.057004262,0.055596674,0.190965499,0.139234565,0.124880344,0.161764916,0.249548708,0.123402809,0.174463041,0.113108429,0.000489131,-0.000172353,-0.006598161,-0.001517713,0.004928993,0.005869799,0.001736729,-0.002969712,-0.000612351,-0.009471477,-0.008123629,-0.002393454,-0.014688632,-0.002979815,-0.011382328,-0.006992118,-0.009313724,-0.004097893,0.039157359,0.084248989,0.094532694,0.05214676,0.076052694,0.091450862,0.017776555,0.021268456,0.037620592,0.038155142,0.081001259,0.044243982,0.016027675,0.018931502,0.068151167,0.061782361
5,2,200,39,38,Elliptical,gammaN.model,1,0.95,0.327058222,0.164513666,0.076435618,0.754,0.044,0.006,0.014273239,0.017206966,0.160808718,0.079147159,0.309822925,0.129979016,0.08501049,0.070626897,0.072249449,0.263471417,0.211664364,0.193438289,0.234669499,0.325617123,0.188897368,0.258433006,0.181416406,0.000416688,-1.93E-05,-0.00308975,-0.001820559,0.014404604,0.003978617,-8.45E-05,-0.000741473,0.002267273,-0.084617872,-0.083136973,-0.084484659,-0.083078927,-0.074016577,-0.077996123,-0.080431292,-0.073917578,-0.008479886,0.008540416,-0.050538254,-0.051029062,-0.098865005,-0.056341331,-0.051938256,-0.076573055,-0.113889157,-0.07147987,-0.115813721,-0.074837794,-0.099417015,-0.073046183,-0.116603055,-0.116091986,-0.115921452
5,2,200,39,38,Elliptical,gammaN.s,1,0.99,0.305580779,0.202789645,0.083905206,0.685,0.019,0.001,0.014689827,0.017895972,0.180490419,0.090375832,0.331962768,0.144997175,0.094391008,0.076990526,0.079388444,0.330819218,0.28445115,0.275142831,0.302413558,0.367547845,0.258843686,0.344837471,0.252186232,0.000407797,6.73E-05,-0.000629229,-0.00213597,0.010739093,0.002832101,-0.001742917,-0.000841182,0.002479815,-0.162849255,-0.167215786,-0.169581004,-0.166891502,-0.141334452,-0.154711093,-0.176907233,-0.152850797,-0.005178242,0.001954022,-0.087909226,-0.102223014,-0.087481055,-0.087761203,-0.083939067,-0.086989868,-0.126551604,-0.06681714,-0.094813183,-0.086919223,-0.069185322,-0.037888928,-0.131775443,-0.135054858,-0.133947112
5,2,200,39,38,Elliptical,ridgeI,1,0.94,2.193631027,0.262371493,0.182268135,1,0.179,0.124,0.014756451,0.017172702,0.176623041,0.091142291,0.33435549,0.149797586,0.103857332,0.092367059,0.094158167,0.448587872,0.389216885,0.400161447,0.455749941,0.561939695,0.367774841,0.414917604,0.347736971,0.000151823,-5.87E-05,-0.037167433,-0.022966481,0.029514591,0.020256962,0.01747695,0.013999115,0.016951665,-0.26003195,-0.250434259,-0.256889045,-0.262171272,-0.260046989,-0.246522846,-0.252284295,-0.234711396,-0.149002241,-0.094336489,-0.160395827,-0.18420528,-0.216519483,-0.224086072,-0.207388341,-0.20470955,-0.212134144,-0.217351216,-0.194745851,-0.157288607,-0.168708351,-0.148954526,-0.199221077,-0.182282262,-0.177228973
5,2,200,39,38,Elliptical,ridgeD,1,0.01,0.143540539,0.286731321,0.191969616,0.002,0.166,0.13,0.014482864,0.017147134,0.169530163,0.086845281,0.32588413,0.141249022,0.092269207,0.07905099,0.081516618,0.445690797,0.386639631,0.451190609,0.593357354,0.839991942,0.365297138,0.427358832,0.356930744,0.000206122,-0.000226846,-0.013054364,-0.006805031,0.00872964,0.006035123,0.001898579,-3.34E-05,-0.000146795,-0.246356803,-0.231003739,-0.221581278,-0.227585017,-0.191506181,-0.244057492,-0.257509719,-0.238841765,-0.149867891,-0.118416097,-0.170476757,-0.202977047,-0.20706182,-0.203715137,-0.177896298,-0.188962575,-0.211799159,-0.228700459,-0.204393614,-0.203965992,-0.166327067,-0.182367763,-0.220297649,-0.210558509,-0.215699638
5,2,200,39,38,Elliptical,gls.model,1,1,0.367038885,0.18139622,0.322330451,0.798,0.046,0.003,0.014795709,0.017925637,0.189957263,0.091397498,0.343177308,0.150271572,0.099060221,0.079669865,0.082852197,0.287010781,0.232516377,0.204482607,0.244194098,0.367099288,0.198623363,0.284836454,0.195865495,0.000623464,0.000104472,-0.005041336,-0.003146121,0.010818765,0.001820304,-0.000159065,-0.001205118,0.003627408,-0.027018592,-0.02180133,-0.022660228,-0.025112353,-0.021091179,-0.019152308,-0.017449779,-0.011980693,0.014178018,0.026405045,-0.330911107,-0.318931898,-0.324220518,-0.322618021,-0.328567107,-0.325662048,-0.363528482,-0.352553439,-0.425868662,-0.388567172,-0.360517376,-0.347773883,-0.413380747,-0.400328519,-0.435605629
