p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.beta1,RMSE.beta2,RMSE.gamma1,RMSE.gamma2,RMSE.gamma3,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.phi11,RMSE.phi12,RMSE.phi22,BIAS.alpha1,BIAS.alpha2,BIAS.beta1,BIAS.beta2,BIAS.gamma1,BIAS.gamma2,BIAS.gamma3,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.phi11,BIAS.phi12,BIAS.phi22,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.beta1,SE BIAS.beta2,SE BIAS.gamma1,SE BIAS.gamma2,SE BIAS.gamma3,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi22
3,2,300,24,11,Skew,gammaN.s,1,0.61,0.040935882,0.256966633,0.074794956,0.046,0.03,0.023,0.013034884,0.016796042,0.141696992,0.079133149,0.239839848,0.117129923,0.105679579,0.518001441,0.340827869,0.699436129,0.321495304,0.365592464,0.381902599,-0.002515748,-0.001576452,0.011208917,0.001612925,-0.006542141,0.00261257,-0.003909912,-0.13829069,-0.106381307,-0.134476284,-0.117273289,-0.125418068,-0.093067672,-0.092307068,-0.023375632,-0.117017506,-0.085680842,-0.026149191,-0.080482446,-0.073551248,-0.077355382,-0.054974042,-0.009835173,-0.190513069,-0.058390117,-0.082702708
3,2,300,24,11,Skew,ridgeI,1,0.87,0.210433597,0.265601156,0.07153488,0.99,0.043,0.034,0.013373774,0.017061863,0.141592565,0.08198267,0.250802282,0.124019278,0.110738231,0.531866564,0.356130296,0.709020467,0.345642539,0.384662834,0.385921669,-0.004019263,-0.002591534,0.006613059,-0.000838502,-0.004497673,0.008489338,0.000485653,-0.165334092,-0.136817501,-0.155745647,-0.155840754,-0.156538142,-0.120108784,-0.105045387,-0.03268029,-0.08757802,-0.072169186,-0.050709492,-0.092262172,-0.066540248,-0.07551235,-0.040002479,0.009918538,-0.187460021,-0.049822679,-0.060252572
3,2,300,24,11,Skew,ridgeD,1,0,0.038302172,0.278734601,0.100054871,0.047,0.047,0.047,0.013783011,0.017086967,0.15226509,0.084551419,0.275032604,0.130001417,0.126593118,0.544744395,0.377781117,0.722521903,0.36573605,0.406544589,0.406908133,-0.004863907,-0.003498515,0.019947467,0.004739593,-0.008251232,0.003569436,-0.006879015,-0.192468564,-0.165210279,-0.1891206,-0.176731484,-0.179419938,-0.147054557,-0.122514781,-0.045969736,-0.113707239,-0.082208328,-0.109979892,-0.137933268,-0.184762756,-0.068052771,-0.084525676,-0.005213465,-0.194983206,-0.068250503,-0.082611704
3,2,300,24,11,Skew,gls.model,1,1,0.067491522,0.29756168,0.345077287,0.393,0.035,0.015,0.013228251,0.017595723,0.160793991,0.086167862,0.275029738,0.1299191,0.117897978,0.606593445,0.415463181,0.872075294,0.341768546,0.390818338,0.440950398,-0.000135994,0.000318373,0.006624145,-0.001665056,-0.013177126,0.001020097,-0.002763963,-0.045671232,-0.002528518,-0.069989176,-0.012748801,-0.019395429,0.006992553,-0.058377231,-0.010563757,-0.33652254,-0.302422725,-0.270970674,-0.296352386,-0.289776841,-0.458832557,-0.507772619,-0.380301087,-0.671216173,-0.412974134,-0.489922007
3,2,300,24,11,Skew,gls.s,1,1,0.063895595,0.290824318,0.322101252,0.368,0.025,0.012,0.013233964,0.017600133,0.159800098,0.086112549,0.274204094,0.129983945,0.118004236,0.588769208,0.403483885,0.835691179,0.338161287,0.384684089,0.430987469,-0.000127142,0.000332122,0.008770018,-0.000977159,-0.013152942,0.000495083,-0.003412233,-0.072660932,-0.035251016,-0.083495866,-0.048652775,-0.062022696,-0.028666329,-0.058290186,-0.010264055,-0.311297747,-0.277746169,-0.242713803,-0.272791084,-0.264711657,-0.42790288,-0.479393434,-0.348409452,-0.656264739,-0.37438046,-0.46315061
3,2,300,24,11,Skew,ls,0.969,1,13.97253204,1.017130892,0.898345447,1,0.158926729,0.057791538,0.014134052,0.020874278,0.164890712,0.092990659,2.437892024,1.85871938,1.263701028,0.929437658,1.498367776,3.542482666,0.349966727,0.488777098,0.560467535,0.000375248,0.000279555,0.006540361,-0.00025189,0.438511095,0.557077937,0.482126617,-0.085296967,-0.215525237,-0.441942218,-0.033953249,-0.052414901,-0.041509714,-0.70558625,-0.484051229,-0.898919679,-0.82407776,-0.983908211,-0.979260212,-0.9778872,-0.983837477,-0.977412687,-0.977779742,-0.979850206,-0.95128502,-0.954635135
3,2,300,24,11,Skew,wls,1,0,0.038302172,0.278734601,0.100054871,0.047,0.047,0.047,0.013783011,0.017086967,0.15226509,0.084551419,0.275032604,0.130001417,0.126593118,0.544744395,0.377781117,0.722521903,0.36573605,0.406544589,0.406908133,-0.004863907,-0.003498515,0.019947467,0.004739593,-0.008251232,0.003569436,-0.006879015,-0.192468564,-0.165210279,-0.1891206,-0.176731484,-0.179419938,-0.147054557,-0.122514781,-0.045969736,-0.113707239,-0.082208328,-0.109979892,-0.137933268,-0.184762756,-0.068052771,-0.084525676,-0.005213465,-0.194983206,-0.068250503,-0.082611704
3,2,300,24,11,Skew,fites,1,NA,0.193643391,0.297661879,0.122702732,0.403,0.042,0.016,0.013228335,0.017595753,0.160791537,0.086167211,0.275045849,0.129920372,0.117889506,0.606401886,0.415340983,0.872202459,0.342092401,0.39063203,0.4422961,-0.00013606,0.000318463,0.006624281,-0.00166508,-0.013183244,0.001019375,-0.002772423,-0.042375209,0.000636171,-0.066552494,-0.013393503,-0.017734657,0.005358809,-0.062682147,-0.016106455,-0.172548083,-0.116443355,-0.096770695,-0.117992878,-0.132749187,-0.157825389,-0.148542759,-0.106760968,-0.219539302,-0.103570763,-0.14360354
3,2,300,24,11,Skew,fiteu,1,NA,0.193643391,0.297661879,0.14302632,0.403,0.048,0.018,0.013228335,0.017595753,0.160791537,0.086167211,0.275045849,0.129920372,0.117889506,0.606401886,0.415340983,0.872202459,0.342092401,0.39063203,0.4422961,-0.00013606,0.000318463,0.006624281,-0.00166508,-0.013183244,0.001019375,-0.002772423,-0.042375209,0.000636171,-0.066552494,-0.013393503,-0.017734657,0.005358809,-0.062565274,-0.015990266,-0.20578986,-0.145994939,-0.101731414,-0.12890069,-0.13795251,-0.182465021,-0.176753312,-0.133299786,-0.253233874,-0.141287851,-0.173377367
3,2,300,24,11,Skew,fitos,1,NA,0.193643391,0.297661879,0.08057081,0.403,0.11,0.042,0.013228335,0.017595753,0.160791537,0.086167211,0.275045849,0.129920372,0.117889506,0.606401886,0.415340983,0.872202459,0.342092401,0.39063203,0.4422961,-0.00013606,0.000318463,0.006624281,-0.00166508,-0.013183244,0.001019375,-0.002772423,-0.042375209,0.000636171,-0.066552494,-0.013393503,-0.017734657,0.005358809,-0.062455106,-0.015746927,-0.098836023,-0.052025619,-0.059820054,-0.070556709,-0.09733735,-0.115999494,-0.101374937,-0.057107851,-0.172989783,-0.04468123,-0.098489453
3,2,500,24,11,Norm,gammaN.model,1,0.93,0.02165517,0.130665535,0.022585611,0.041,0.047,0.041,0.00966894,0.013952313,0.078666608,0.047068806,0.1562934,0.068256285,0.064238801,0.247728112,0.159311384,0.403214609,0.089854409,0.187473476,0.172924816,0.000588166,-0.000240918,-0.002524129,0.000491249,-0.002396006,-0.000120533,-0.000276391,-0.009359689,-0.006858026,-0.016329154,-0.003251162,-0.003510452,-0.003721219,0.014783937,-0.022031796,0.040151665,-0.038208142,-0.024787991,0.009357533,-0.006831596,0.003238125,0.008848858,-0.009684667,-0.036624358,-0.053029814,0.026034461
3,2,500,24,11,Norm,gammaN.s,1,1,0.021354884,0.13086394,0.023684844,0.037,0.036,0.035,0.009666803,0.013951299,0.079903959,0.047496733,0.156178348,0.068543664,0.064135499,0.247412401,0.160369002,0.399985935,0.09207967,0.188632145,0.172875757,0.000582155,-0.000248636,-0.00287426,0.000405092,-0.002394784,-0.000174445,-0.000330599,-0.016485929,-0.016534791,-0.020167096,-0.013758736,-0.016173638,-0.013038031,0.016907388,-0.020246912,0.039371164,-0.029937286,-0.011587297,0.020749906,0.00637861,0.017246883,0.019353965,0.007146584,-0.035037761,-0.040449134,0.043490079
3,2,500,24,11,Norm,ridgeI,1,0.29,0.030069517,0.13317007,0.032704851,0.228,0.049,0.049,0.009817846,0.014095029,0.080991863,0.047962772,0.158710423,0.070327834,0.06568867,0.251282646,0.162617589,0.40926449,0.093006112,0.190961945,0.176483698,0.000638337,-0.00019757,-0.002626462,-0.000136425,-0.00227521,0.000235481,0.000684278,-0.017718438,-0.015586065,-0.021740922,-0.012976292,-0.015585125,-0.012300851,-0.011693132,-0.042094877,0.004753948,-0.059769479,-0.043129202,-0.025933918,-0.033732838,-0.016728908,-0.015570204,-0.033642073,-0.067310826,-0.070770256,3.34E-05
3,2,500,24,11,Norm,ridgeD,1,0,0.022049497,0.133224298,0.033281561,0.049,0.049,0.049,0.009826105,0.014097527,0.081095653,0.047992827,0.158913176,0.070494357,0.065788308,0.251514371,0.162776481,0.408617696,0.093108965,0.191220432,0.176469972,0.00064108,-0.000195941,-0.002226704,7.90E-05,-0.002606782,-3.40E-05,0.000444434,-0.017876967,-0.015977002,-0.021778553,-0.01313042,-0.016015918,-0.012613317,-0.012567566,-0.042506822,0.003235059,-0.060441069,-0.043806045,-0.027835313,-0.035113337,-0.017706588,-0.016506368,-0.032974088,-0.068120309,-0.071697917,0.000149812
3,2,500,24,11,Norm,gls.model,1,1,0.021610871,0.130681789,0.022627709,0.042,0.046,0.038,0.009666372,0.013951408,0.078616506,0.047076716,0.156276553,0.068176176,0.064199325,0.247854202,0.159332155,0.403447012,0.089791589,0.187493044,0.172982205,0.000583667,-0.000243681,-0.002547359,0.000519009,-0.002375561,-0.000144051,-0.00033013,-0.008685307,-0.006191335,-0.015845929,-0.002507997,-0.002542596,-0.003073102,0.016902368,-0.020330497,0.04556334,-0.031853756,-0.023088264,0.016146128,-0.005157523,0.008200116,0.013629555,-0.003807674,-0.02845264,-0.04861662,0.032411732
3,2,500,24,11,Norm,gls.s,1,1,0.021354884,0.13086394,0.023684844,0.037,0.036,0.035,0.009666803,0.013951299,0.079903959,0.047496733,0.156178348,0.068543664,0.064135499,0.247412401,0.160369002,0.399985935,0.09207967,0.188632145,0.172875757,0.000582155,-0.000248636,-0.00287426,0.000405092,-0.002394784,-0.000174445,-0.000330599,-0.016485929,-0.016534791,-0.020167096,-0.013758736,-0.016173638,-0.013038031,0.016907388,-0.020246912,0.039371164,-0.029937286,-0.011587297,0.020749906,0.00637861,0.017246883,0.019353965,0.007146584,-0.035037761,-0.040449134,0.043490079
3,2,500,24,11,Norm,ls,0.999,1,5.763755121,0.251365125,0.878221069,1,0.147147147,0.055055055,0.009677214,0.014655796,0.080555065,0.051903293,0.357108564,0.310541438,0.361899252,0.328768533,0.312443583,0.856401026,0.102267705,0.239627243,0.241897915,0.000565734,-0.000272097,-0.002613833,0.00032687,0.023306664,0.084409743,0.116021419,-0.013089159,-0.034169044,-0.121667539,-0.004966878,-0.009480983,-0.013449502,-0.693025624,-0.473648758,-0.853706893,-0.77703686,-0.960177963,-0.963235829,-0.967315274,-0.979674281,-0.971044133,-0.973892505,-0.951609343,-0.929257384,-0.923249047
3,2,500,24,11,Norm,wls,1,0,0.022049497,0.133224298,0.033281561,0.049,0.049,0.049,0.009826105,0.014097527,0.081095653,0.047992827,0.158913176,0.070494357,0.065788308,0.251514371,0.162776481,0.408617696,0.093108965,0.191220432,0.176469972,0.00064108,-0.000195941,-0.002226704,7.90E-05,-0.002606782,-3.40E-05,0.000444434,-0.017876967,-0.015977002,-0.021778553,-0.01313042,-0.016015918,-0.012613317,-0.012567566,-0.042506822,0.003235059,-0.060441069,-0.043806045,-0.027835313,-0.035113337,-0.017706588,-0.016506368,-0.032974088,-0.068120309,-0.071697917,0.000149812
