p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.psi44,RMSE.psi55,RMSE.phi11,RMSE.phi12,RMSE.phi22,BIAS.alpha1,BIAS.alpha2,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.psi44,BIAS.psi55,BIAS.phi11,BIAS.phi12,BIAS.phi22,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.psi44,SE BIAS.psi55,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi22
5,2,300,10,10,Norm,ridgeD,1,0,0.035560083,0.109374688,0.054770161,0.068,0.068,0.068,0.012807643,0.015913721,0.160952998,0.115100732,0.111176389,0.13567754,0.206089958,0.10158935,0.139796945,0.094641603,0.000439723,-2.78E-05,-0.025414896,-0.022962705,-0.024523921,-0.02808083,-0.012216935,-0.022694482,-0.025962894,-0.021631541,-0.055275407,-0.070360919,-0.061899965,-0.051776086,-0.076764457,-0.060663463,-0.07286275,-0.05834352,-0.001041635,-0.038713411
5,2,300,10,10,Norm,gls.model,1,1,0.033812571,0.103889227,0.021754155,0.049,0.049,0.045,0.012638558,0.015389347,0.153351175,0.108906139,0.102621988,0.129030321,0.201896152,0.095920943,0.130351456,0.088786192,0.000400388,-0.000116109,-0.004463714,-0.002224844,-0.003785384,-0.00723516,0.006162918,-0.005558749,0.000461412,-0.004194351,-0.02304714,-0.018346784,-0.012124249,-0.000542749,-0.007024043,-0.010746551,-0.033502381,-0.008632237,0.063552658,0.018827893
5,2,300,10,10,Norm,gls.s,1,1,0.033520556,0.106875061,0.020475033,0.049,0.05,0.046,0.012666195,0.015548777,0.156836084,0.112348575,0.107835931,0.133901613,0.20162974,0.098903297,0.136487748,0.092592647,0.000393285,-0.000131533,-0.024029677,-0.023523055,-0.02472826,-0.028955815,-0.010047827,-0.021931125,-0.024423103,-0.021443647,-0.029390672,-0.032704363,-0.008321303,0.005381796,-0.015762015,-0.009679878,-0.020919681,-0.005154754,0.050118649,0.014439844
5,2,300,10,10,Norm,ls,1,1,266.9755009,0.218747068,0.980637677,1,0.132,0.046,0.012594028,0.015398657,0.230214682,0.262517692,0.368684819,0.397886989,0.574977516,0.097062316,0.135364153,0.092769831,0.000418829,-0.000116535,-0.007752331,-0.004301355,-0.004637686,0.008465699,-0.012087612,-0.005301179,-0.000668749,-0.003422872,-0.928887433,-0.940639525,-0.98464994,-0.989885731,-0.993366942,-0.99341072,-0.993829192,-0.993170713,-0.993068025,-0.995468548
5,2,300,10,10,Norm,wls,1,0,0.035560083,0.109374688,0.054770161,0.068,0.068,0.068,0.012807643,0.015913721,0.160952998,0.115100732,0.111176389,0.13567754,0.206089958,0.10158935,0.139796945,0.094641603,0.000439723,-2.78E-05,-0.025414896,-0.022962705,-0.024523921,-0.02808083,-0.012216935,-0.022694482,-0.025962894,-0.021631541,-0.055275407,-0.070360919,-0.061899965,-0.051776086,-0.076764457,-0.060663463,-0.07286275,-0.05834352,-0.001041635,-0.038713411
5,2,300,10,10,Norm,fites,1,NA,0.054962191,0.103816389,0.023895935,0.049,0.052,0.05,0.012637176,0.015388052,0.153068694,0.108925071,0.102348071,0.128579813,0.202152468,0.095996096,0.130248835,0.088819609,0.000400483,-0.000114294,-0.00083307,0.001185174,-0.000409924,-0.004114118,0.009568215,-0.006086478,0.001175333,-0.004541386,-0.024570442,-0.019906219,-0.021255611,-0.009262637,-0.012104214,-0.021148904,-0.047338705,-0.015110689,0.057817592,0.010444335
5,2,300,10,10,Norm,fiteu,1,NA,0.054962191,0.103816389,0.026909866,0.049,0.052,0.049,0.012637176,0.015388052,0.153068694,0.108925071,0.102348071,0.128579813,0.202152468,0.095996096,0.130248835,0.088819609,0.000400483,-0.000114294,-0.00083307,0.001185174,-0.000409924,-0.004114118,0.009568215,-0.006086478,0.001175333,-0.004541386,-0.028772066,-0.024256375,-0.025890337,-0.016637981,-0.019849002,-0.028490089,-0.052023368,-0.021920893,0.048068705,0.003189841
5,2,300,10,10,Norm,fitos,1,NA,0.054962191,0.103816389,0.022886353,0.049,0.059,0.05,0.012637176,0.015388052,0.153068694,0.108925071,0.102348071,0.128579813,0.202152468,0.095996096,0.130248835,0.088819609,0.000400483,-0.000114294,-0.00083307,0.001185174,-0.000409924,-0.004114118,0.009568215,-0.006086478,0.001175333,-0.004541386,-0.020345154,-0.01534706,-0.0049962,0.015427562,0.014772297,0.002934159,-0.031314938,0.00496252,0.086553921,0.032209717
5,2,300,10,10,Elliptical,gammaN.model,1,0.87,0.051922634,0.155726012,0.064795518,0.302,0.042,0.032,0.012563273,0.015255481,0.221681796,0.165093283,0.160804029,0.195875566,0.2839705,0.15453821,0.203268224,0.144209756,0.000582363,3.11E-05,-0.046081873,-0.039865293,-0.044664542,-0.049634679,-0.027787266,-0.037257439,-0.037440795,-0.038092698,-0.046656989,-0.040255758,-0.051032449,-0.054248812,-0.075231468,-0.084893249,-0.078385717,-0.103217382,-0.04983483,-0.064198525
5,2,300,10,10,Elliptical,gammaN.s,1,0.89,0.049374984,0.16417126,0.067666057,0.259,0.039,0.027,0.012637964,0.015424927,0.232089087,0.176733819,0.173926643,0.209452465,0.288266301,0.163582351,0.217679276,0.151919762,0.0005423,9.08E-05,-0.067979429,-0.064889962,-0.067838874,-0.075750414,-0.04660355,-0.055875847,-0.065854018,-0.055800534,-0.052535781,-0.050708525,-0.047991839,-0.053156317,-0.084705817,-0.086005659,-0.066548032,-0.110360443,-0.062817748,-0.061830407
