p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.phi11,RMSE.phi12,RMSE.phi22,BIAS.alpha1,BIAS.alpha2,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.phi11,BIAS.phi12,BIAS.phi22,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi22
3,2,100,8,1,Norm,fites,0.999,NA,0.054962191,0.355931932,0.025878001,0.052052052,0.053053053,0.053053053,0.021582871,0.030091714,0.535470281,0.373182228,0.885799053,0.196091633,0.380129419,0.425108259,0.000247837,-0.000750043,0.035594864,-0.025048209,0.040278918,-0.008727728,0.028518053,-0.02648131,0.009146699,0.007246869,-0.020585962,-0.036940127,-0.057130571,-0.018761095,0.004457382,-0.052755303
3,2,100,8,1,Norm,fiteu,0.999,NA,0.054962191,0.355931932,0.025878001,0.052052052,0.052052052,0.052052052,0.021582871,0.030091714,0.535470281,0.373182228,0.885799053,0.196091633,0.380129419,0.425108259,0.000247837,-0.000750043,0.035594864,-0.025048209,0.040278918,-0.008727728,0.028518053,-0.02648131,0.009146699,0.007246869,-0.020585962,-0.036940127,-0.057130571,-0.018761095,0.004457382,-0.052755303
3,2,100,8,1,Norm,fitos,0.999,NA,0.054962191,0.355931932,0.025565774,0.052052052,0.06006006,0.06006006,0.021582871,0.030091714,0.535470281,0.373182228,0.885799053,0.196091633,0.380129419,0.425108259,0.000247837,-0.000750043,0.035594864,-0.025048209,0.040278918,-0.008727728,0.028518053,-0.02648131,0.009146699,0.007246869,-0.019785217,-0.035902479,-0.056633053,-0.018534675,0.004968218,-0.052308984
3,2,100,8,1,Elliptical,gammaN.model,1,0,0.010695484,0.534053314,0.078149816,0.059,0.059,0.059,0.021814646,0.029856872,0.803758114,0.556449846,1.352245617,0.314335312,0.596256363,0.597709742,0.000105647,-0.000146038,-0.037064003,-0.061058059,-0.043576808,-0.028445128,-0.01762312,-0.01342077,-0.013546797,0.007060042,-0.086078381,-0.094668931,-0.104568531,-0.129224301,-0.104497391,-0.085554157
3,2,100,8,1,Elliptical,gammaN.s,1,0,0.010695484,0.534053314,0.078149816,0.059,0.059,0.059,0.021814646,0.029856872,0.803758114,0.556449846,1.352245617,0.314335312,0.596256363,0.597709742,0.000105647,-0.000146038,-0.037064003,-0.061058059,-0.043576808,-0.028445128,-0.01762312,-0.01342077,-0.013546797,0.007060042,-0.086078381,-0.094668931,-0.104568531,-0.129224301,-0.104497391,-0.085554157
3,2,100,8,1,Elliptical,ridgeI,1,0.77,0.040625754,0.533534567,0.078926552,0.321,0.059,0.059,0.021792199,0.029819358,0.803826165,0.552493548,1.350267992,0.314474235,0.597517529,0.598085506,0.000104049,-0.000153158,-0.034850323,-0.057572252,-0.040231977,-0.027452575,-0.015491778,-0.012637561,-0.012394407,0.008498861,-0.087880465,-0.091690129,-0.105963913,-0.130465372,-0.108073316,-0.08644595
3,2,100,8,1,Elliptical,ridgeD,1,0,0.010695484,0.534053314,0.078149816,0.059,0.059,0.059,0.021814646,0.029856872,0.803758114,0.556449846,1.352245617,0.314335312,0.596256363,0.597709742,0.000105647,-0.000146038,-0.037064003,-0.061058059,-0.043576808,-0.028445128,-0.01762312,-0.01342077,-0.013546797,0.007060042,-0.086078381,-0.094668931,-0.104568531,-0.129224301,-0.104497391,-0.085554157
3,2,100,8,1,Elliptical,gls.model,1,1,0.010695484,0.683218114,0.198045833,0.059,0.059,0.059,0.021814646,0.029856872,1.082782832,0.666051618,1.785036662,0.337534791,0.80850712,0.734160369,0.000105647,-0.000146038,-0.006548733,-0.024466258,0.006457151,-0.018694194,0.011695964,-0.010917682,-0.013546797,0.007060042,-0.488686717,-0.450713316,-0.507823809,-0.41878784,-0.514628229,-0.450972559
3,2,100,8,1,Elliptical,gls.s,1,1,0.010695484,0.683218114,0.198045833,0.059,0.059,0.059,0.021814646,0.029856872,1.082782832,0.666051618,1.785036662,0.337534791,0.80850712,0.734160369,0.000105647,-0.000146038,-0.006548733,-0.024466258,0.006457151,-0.018694194,0.011695964,-0.010917682,-0.013546797,0.007060042,-0.488686717,-0.450713316,-0.507823809,-0.41878784,-0.514628229,-0.450972559
3,2,100,8,1,Elliptical,ls,1,1,0.260916484,0.683233921,0.969340052,0.712,0.059,0.059,0.021859648,0.029938329,1.082782832,0.666051618,1.785036662,0.337534791,0.80850712,0.734160369,8.03E-05,-0.000228,-0.006548733,-0.024466258,0.006457151,-0.018694194,0.011695964,-0.010917682,-0.916106287,-0.881340032,-0.990850004,-0.992420707,-0.994521507,-0.99320765,-0.993052146,-0.993222079
3,2,100,8,1,Elliptical,wls,1,0,0.010695484,0.534053314,0.078149816,0.059,0.059,0.059,0.021814646,0.029856872,0.803758114,0.556449846,1.352245617,0.314335312,0.596256363,0.597709742,0.000105647,-0.000146038,-0.037064003,-0.061058059,-0.043576808,-0.028445128,-0.01762312,-0.01342077,-0.013546797,0.007060042,-0.086078381,-0.094668931,-0.104568531,-0.129224301,-0.104497391,-0.085554157
3,2,100,8,1,Elliptical,fites,0.999,NA,0.054962191,0.685215177,0.205641652,0.059059059,0.06006006,0.06006006,0.02181844,0.029870107,1.082751148,0.666973344,1.787302478,0.339344247,0.810314004,0.743347651,0.000122919,-0.000136931,0.004261635,-0.014392472,0.015932438,-0.020936787,0.017181252,-0.015206901,-0.018806724,0.001699331,-0.312714935,-0.243253254,-0.324263066,-0.179752841,-0.336045166,-0.228597902
3,2,100,8,1,Elliptical,fiteu,0.999,NA,0.054962191,0.685215177,0.205641652,0.059059059,0.059059059,0.059059059,0.02181844,0.029870107,1.082751148,0.666973344,1.787302478,0.339344247,0.810314004,0.743347651,0.000122919,-0.000136931,0.004261635,-0.014392472,0.015932438,-0.020936787,0.017181252,-0.015206901,-0.018806724,0.001699331,-0.312714935,-0.243253254,-0.324263066,-0.179752841,-0.336045166,-0.228597902
3,2,100,8,1,Elliptical,fitos,0.999,NA,0.054962191,0.685215177,0.204376249,0.059059059,0.068068068,0.068068068,0.02181844,0.029870107,1.082751148,0.666973344,1.787302478,0.339344247,0.810314004,0.743347651,0.000122919,-0.000136931,0.004261635,-0.014392472,0.015932438,-0.020936787,0.017181252,-0.015206901,-0.018806724,0.001699331,-0.310665382,-0.239943334,-0.322602395,-0.1792825,-0.334664532,-0.227345793
3,2,100,8,1,Skew,gammaN.model,0.999,0.33,0.011111149,0.611910524,0.147536027,0.061061061,0.055055055,0.055055055,0.023054262,0.028797326,0.894447552,0.62271169,1.42764895,0.533082678,0.648899714,0.716642022,-0.000834827,-0.000908212,-0.111180178,-0.048114499,-0.162574904,-0.039395473,-0.059555532,0.014565392,-0.089189808,0.027155081,-0.104824215,-0.197360778,-0.11172518,-0.266919966,-0.156012045,-0.227101145
3,2,100,8,1,Skew,gammaN.s,1,0.21,0.010688142,0.613364584,0.148883137,0.055,0.055,0.055,0.023042712,0.028737711,0.894038116,0.620889006,1.439262294,0.532587733,0.64822947,0.72012963,-0.001045431,-0.000932024,-0.11466373,-0.048328364,-0.170415053,-0.040003216,-0.060182464,0.01387062,-0.088220673,0.029144896,-0.104136124,-0.201524335,-0.112425469,-0.266774086,-0.156488681,-0.232350833
3,2,100,8,1,Skew,ridgeI,1,0.93,0.093585081,0.609436795,0.147199533,0.527,0.055,0.055,0.023032784,0.028700146,0.889997902,0.61719591,1.419787854,0.532848601,0.649072827,0.714858332,-0.000615653,-0.000886502,-0.105188132,-0.048555996,-0.157424334,-0.03898739,-0.058314737,0.015283462,-0.087296024,0.032489696,-0.106541176,-0.190157542,-0.111530218,-0.266800125,-0.157352558,-0.225428929
3,2,100,8,1,Skew,ridgeD,1,0.04,0.007986461,0.612347749,0.149456722,0.028,0.055,0.055,0.023094976,0.028612909,0.898704118,0.620171644,1.432362478,0.534158847,0.650380175,0.711296842,-0.000687169,-0.001055728,-0.1129871,-0.052989308,-0.165853077,-0.038420953,-0.060176305,0.015069304,-0.090100243,0.036129509,-0.109662996,-0.195725174,-0.112617176,-0.269701537,-0.158754978,-0.222962161
3,2,100,8,1,Skew,gls.model,1,1,0.010688142,0.668870869,0.177635752,0.055,0.055,0.055,0.023042712,0.028737711,1.024598553,0.760721701,1.554529364,0.548880838,0.678101458,0.732354614,-0.001045431,-0.000932024,-0.058764605,0.037198567,-0.121304396,-0.033889941,-0.046187945,0.021600099,-0.088220673,0.029144896,-0.445098674,-0.552188463,-0.370100099,-0.641514777,-0.408283135,-0.477314105
3,2,100,8,1,Skew,gls.s,1,1,0.010688142,0.668870869,0.177635752,0.055,0.055,0.055,0.023042712,0.028737711,1.024598553,0.760721701,1.554529364,0.548880838,0.678101458,0.732354614,-0.001045431,-0.000932024,-0.058764605,0.037198567,-0.121304396,-0.033889941,-0.046187945,0.021600099,-0.088220673,0.029144896,-0.445098674,-0.552188463,-0.370100099,-0.641514777,-0.408283135,-0.477314105
3,2,100,8,1,Skew,ls,1,1,0.250663761,0.668930834,0.969398582,0.709,0.055,0.055,0.023288439,0.028971708,1.024598553,0.760721701,1.554529364,0.548880838,0.678101458,0.732354614,0.000203716,-0.00081335,-0.058764605,0.037198567,-0.121304396,-0.033889941,-0.046187945,0.021600099,-0.921260568,-0.877264295,-0.989775159,-0.993755952,-0.992765931,-0.995755425,-0.991191684,-0.993419643
